Last_Name,First_Name,Division,Country,BIB,Overall_Place,Time,Seconds,Year,Gender,Marathon
niles,alexandra,30-34,USA,406,680,02:56:03,10563.0,2014,F,Chicago
o'brien,caitlin,20-24,USA,5936,681,02:56:03,10563.0,2014,F,Chicago
yoshizumi,yuri,25-29,JPN,118,686,02:56:07,10567.0,2014,F,Chicago
turner,liz,30-34,USA,179,690,02:56:09,10569.0,2014,F,Chicago
shaw,christine,25-29,USA,171,696,02:56:17,10577.0,2014,F,Chicago
montes,columba,35-39,MEX,492,701,02:56:22,10582.0,2014,F,Chicago
burgess,kristine,25-29,USA,433,706,02:56:25,10585.0,2014,F,Chicago
kostka,kristen,30-34,USA,151,707,02:56:26,10586.0,2014,F,Chicago
dalton,anna,25-29,USA,436,714,02:56:31,10591.0,2014,F,Chicago
holte,tanya,30-34,USA,404,716,02:56:32,10592.0,2014,F,Chicago
sischo,lauren,25-29,USA,6143,720,02:56:35,10595.0,2014,F,Chicago
jaswell,megan,25-29,USA,443,742,02:57:05,10625.0,2014,F,Chicago
smith,miranda,30-34,USA,19185,746,02:57:06,10626.0,2014,F,Chicago
dandler,marlene,35-39,USA,454,749,02:57:08,10628.0,2014,F,Chicago
hernandez,cibelle,40-44,MEX,1986,752,02:57:09,10629.0,2014,F,Chicago
young,lindsey,30-34,USA,463,754,02:57:10,10630.0,2014,F,Chicago
mcclain,shawna,30-34,USA,446,757,02:57:13,10633.0,2014,F,Chicago
schuham,marti,45-49,USA,483,767,02:57:21,10641.0,2014,F,Chicago
hagen,lindsey,30-34,USA,466,772,02:57:22,10642.0,2014,F,Chicago
germack,hayley,25-29,USA,2351,774,02:57:24,10644.0,2014,F,Chicago
ezer,neta,30-34,USA,1923,799,02:57:43,10663.0,2014,F,Chicago
louw,ingrid,40-44,USA,5336,809,02:57:50,10670.0,2014,F,Chicago
kipchoge,eliud,25-29,KEN,2,1,02:04:11,7451.0,2014,M,Chicago
kitwara,sammy,25-29,KEN,6,2,02:04:28,7468.0,2014,M,Chicago
chumba,dickson,25-29,KEN,7,3,02:04:32,7472.0,2014,M,Chicago
bekele,kenenisa,30-34,ETH,1,4,02:05:51,7551.0,2014,M,Chicago
koech,bernard,25-29,KEN,5,5,02:08:30,7710.0,2014,M,Chicago
ghebreslassie,ghirmay,19 and under,ERI,51,6,02:09:08,7748.0,2014,M,Chicago
rutto,lani,25-29,KEN,43,7,02:10:42,7842.0,2014,M,Chicago
korir,wesley,30-34,KEN,8,8,02:11:09,7869.0,2014,M,Chicago
curtis,bobby,25-29,USA,17,9,02:11:20,7880.0,2014,M,Chicago
kobayashi,koji,25-29,JPN,9,10,02:11:43,7903.0,2014,M,Chicago
riley,jake,25-29,USA,35,11,02:13:16,7996.0,2014,M,Chicago
proctor,gabe,20-24,USA,30,12,02:13:45,8025.0,2014,M,Chicago
landry,christo,25-29,USA,23,13,02:14:30,8070.0,2014,M,Chicago
young,tim,25-29,USA,27,14,02:14:40,8080.0,2014,M,Chicago
morgan,mike,30-34,USA,21,15,02:14:42,8082.0,2014,M,Chicago
okamoto,naoki,30-34,JPN,16,16,02:15:19,8119.0,2014,M,Chicago
sasaki,satoru,25-29,JPN,10,17,02:15:25,8125.0,2014,M,Chicago
fukuyama,ryosuke,30-34,JPN,12,18,02:15:33,8133.0,2014,M,Chicago
leon,craig,25-29,USA,19,19,02:16:00,8160.0,2014,M,Chicago
trujillo,carlos,25-29,USA,20,20,02:16:49,8209.0,2014,M,Chicago
yonezawa,rui,25-29,JPN,15,21,02:17:30,8250.0,2014,M,Chicago
witt,jason,20-24,USA,75,22,02:17:31,8251.0,2014,M,Chicago
dewitt,john,20-24,USA,279,23,02:17:38,8258.0,2014,M,Chicago
llano,matthew,25-29,USA,36,24,02:17:43,8263.0,2014,M,Chicago
rizzo,patrick,30-34,USA,18,25,02:18:04,8284.0,2014,M,Chicago
davis,jesse,30-34,USA,32,26,02:18:13,8293.0,2014,M,Chicago
humphrey,luke,30-34,USA,22,27,02:18:19,8299.0,2014,M,Chicago
gregg,brendan,25-29,USA,37,28,02:18:30,8310.0,2014,M,Chicago
christiansen,jed,25-29,USA,304,29,02:18:55,8335.0,2014,M,Chicago
frazer,thomas,30-34,IRL,336,30,02:19:53,8393.0,2014,M,Chicago
blume,matthew,30-34,USA,362,31,02:20:28,8428.0,2014,M,Chicago
mora,jameson,30-34,USA,25,32,02:20:38,8438.0,2014,M,Chicago
hensley,matt,25-29,USA,345,33,02:20:53,8453.0,2014,M,Chicago
chichester,tim,25-29,USA,334,34,02:21:03,8463.0,2014,M,Chicago
krong,jake,30-34,USA,344,35,02:21:12,8472.0,2014,M,Chicago
kremske,dan,25-29,USA,33,36,02:21:17,8477.0,2014,M,Chicago
macias,mario,30-34,USA,24,37,02:22:47,8567.0,2014,M,Chicago
weaver,andrew,20-24,USA,341,38,02:22:50,8570.0,2014,M,Chicago
barrett,matt,25-29,USA,350,39,02:23:09,8589.0,2014,M,Chicago
dessaix-chin,russell,35-39,AUS,327,40,02:23:12,8592.0,2014,M,Chicago
johns,ryan,25-29,USA,329,41,02:23:36,8616.0,2014,M,Chicago
marol,matthew,20-24,USA,77,42,02:23:51,8631.0,2014,M,Chicago
zdroik,evan,25-29,USA,326,43,02:24:03,8643.0,2014,M,Chicago
finnel,brian,25-29,USA,88,44,02:24:39,8679.0,2014,M,Chicago
roeder,madison,25-29,USA,335,45,02:24:55,8695.0,2014,M,Chicago
glaz,daniel,30-34,USA,352,46,02:25:17,8717.0,2014,M,Chicago
carpenter,joseph,25-29,USA,305,47,02:25:20,8720.0,2014,M,Chicago
hendrix,austin,25-29,USA,363,48,02:25:26,8726.0,2014,M,Chicago
tenepaguay,leonardo,25-29,ECU,40,49,02:25:34,8734.0,2014,M,Chicago
jonaitis,jeff,30-34,USA,308,51,02:25:39,8739.0,2014,M,Chicago
takata,nobuaki,35-39,JPN,13,52,02:25:39,8739.0,2014,M,Chicago
fyock,chris,25-29,USA,91,54,02:26:05,8765.0,2014,M,Chicago
kosgei,simon,20-24,KEN,143,55,02:26:08,8768.0,2014,M,Chicago
rotut kipkalum,richard,25-29,KEN,145,56,02:26:09,8769.0,2014,M,Chicago
paul,charlie,25-29,USA,360,57,02:26:13,8773.0,2014,M,Chicago
dewitt,jonathan,20-24,USA,306,58,02:26:35,8795.0,2014,M,Chicago
kienzle,ryan,25-29,USA,39,59,02:26:38,8798.0,2014,M,Chicago
mariano,gregory,25-29,USA,302,60,02:26:48,8808.0,2014,M,Chicago
moore,joe,30-34,USA,144,63,02:27:05,8825.0,2014,M,Chicago
