official_time,place_overall,net_time,contry_citizenship,display_name,gender,gender_result,division_result,year,division,age_graded_time,age,city,state,seconds,residence,pace,overall,first_name,last_name,bib,name,country_residence,name_suffix,5k,10k,15k,20k,half,25k,30k,35k,40k,projected_time
02:27:02,51,02:26:58,USA,Michael Danielczuk,M,46.0,,2021.0,,,,,,8822.0,,,,,,,,,,,,,,,,,,,
02:27:05,52,02:27:02,USA,Michael Cox,M,47.0,,2021.0,,,,,,8825.0,,,,,,,,,,,,,,,,,,,
02:27:25,54,02:27:23,USA,Philip Royer,M,48.0,,2021.0,,,,,,8845.0,,,,,,,,,,,,,,,,,,,
02:27:31,55,02:27:31,USA,Corbin Harris,M,49.0,,2021.0,,,,,,8851.0,,,,,,,,,,,,,,,,,,,
02:27:45,58,02:27:45,USA,Blue Benadum,M,51.0,,2021.0,,,,,,8865.0,,,,,,,,,,,,,,,,,,,
02:27:46,57,02:27:45,USA,Zachary Dulabon,M,50.0,,2021.0,,,,,,8866.0,,,,,,,,,,,,,,,,,,,
02:27:49,59,02:27:46,USA,Stephen Gomez,M,52.0,,2021.0,,,,,,8869.0,,,,,,,,,,,,,,,,,,,
02:27:56,60,02:27:53,USA,Ben Pare,M,53.0,,2021.0,,,,,,8876.0,,,,,,,,,,,,,,,,,,,
02:27:56,62,02:27:56,Guatemala,Luis Carlos Rivero,M,55.0,,2021.0,,,,,,8876.0,,,,,,,,,,,,,,,,,,,
02:27:57,61,02:27:55,USA,Steven Stallis,M,54.0,,2021.0,,,,,,8877.0,,,,,,,,,,,,,,,,,,,
02:28:09,64,02:28:09,USA,Sam Geha,M,56.0,,2021.0,,,,,,8889.0,,,,,,,,,,,,,,,,,,,
02:28:19,65,02:28:19,USA,Brian Reis,M,57.0,,2021.0,,,,,,8899.0,,,,,,,,,,,,,,,,,,,
02:28:41,67,02:28:40,USA,David Riddle,M,59.0,,2021.0,,,,,,8921.0,,,,,,,,,,,,,,,,,,,
02:28:54,68,02:28:43,USA,Shaun Dever,M,60.0,,2021.0,,,,,,8934.0,,,,,,,,,,,,,,,,,,,
02:28:55,69,02:28:55,Kenya,Duncan Nyasinga,M,61.0,,2021.0,,,,,,8935.0,,,,,,,,,,,,,,,,,,,
02:29:01,70,02:28:57,Chile,Rodrigo Machado Hamilton,M,62.0,,2021.0,,,,,,8941.0,,,,,,,,,,,,,,,,,,,
02:29:02,71,02:29:00,USA,Justin Garrard,M,63.0,,2021.0,,,,,,8942.0,,,,,,,,,,,,,,,,,,,
02:29:09,74,02:29:08,USA,Chris Maxwell,M,64.0,,2021.0,,,,,,8949.0,,,,,,,,,,,,,,,,,,,
02:29:17,75,02:29:17,USA,Jarrett Leblanc,M,65.0,,2021.0,,,,,,8957.0,,,,,,,,,,,,,,,,,,,
02:29:24,76,02:29:21,USA,Ross Macandrew,M,66.0,,2021.0,,,,,,8964.0,,,,,,,,,,,,,,,,,,,
02:29:36,78,02:29:36,USA,Peter Bromka,M,68.0,,2021.0,,,,,,8976.0,,,,,,,,,,,,,,,,,,,
02:29:39,77,02:29:31,USA,Erik Alatalo,M,67.0,,2021.0,,,,,,8979.0,,,,,,,,,,,,,,,,,,,
