Overall Place,Gender Place,Category Place,Club,Runner Number,Gender,Category,Event,Half Time,Finish Time,Year,Last Name,First Name,Country,Total Seconds,Half Seconds,Name
20,20,16.0,London Heathside ,1618,M,18-39,Mass,01:13:06,02:29:18,2018, aldred,tom,GBR,8958.0,,
21,21,17.0,,55356,M,18-39,Mass,01:10:06,02:29:18,2018, li,wei,CHN,8958.0,,
22,22,5.0,Shaftesbury Barn...,1682,M,40-44,Mass,01:11:01,02:29:28,2018, kyereme,kojo,GBR,8968.0,,
23,23,18.0,East Hull Harrie...,1894,M,18-39,Mass,01:12:47,02:29:41,2018, hargreaves,michael,GBR,8981.0,,
24,24,19.0,Kent AC,1851,M,18-39,Mass,01:12:09,02:29:41,2018, bentley,russell,GBR,8981.0,,
25,25,20.0,BRJ Run and Tri,1333,M,18-39,Mass,01:13:13,02:29:42,2018, hudson,david,GBR,8982.0,,
26,26,21.0,Kenilworth Runners,1925,M,18-39,Mass,01:12:18,02:29:45,2018, siggers,andrew,GBR,8985.0,,
27,27,22.0,Serpentine RC,1897,M,18-39,Mass,01:13:23,02:29:54,2018, oddy,chris,GBR,8994.0,,
28,28,23.0,,2004,M,18-39,Mass,01:11:50,02:30:16,2018, alkhawaldeh,mo'ath,JOR,9016.0,,
29,29,24.0,Woodford Green ...,1777,M,18-39,Mass,01:13:35,02:30:18,2018, steel,daniel,GBR,9018.0,,
30,30,25.0,Blackheath and Brom...,1714,M,18-39,Mass,01:12:58,02:30:38,2018, tucker,peter,GBR,9038.0,,
31,31,26.0,Bournemouth AC,1405,M,18-39,Mass,01:12:10,02:30:40,2018, mctaggart,rob,GBR,9040.0,,
32,32,27.0,Bedford & Coun...,1746,M,18-39,Mass,01:12:26,02:31:00,2018, mackay,will,GBR,9060.0,,
33,33,28.0,Other,1574,M,18-39,Mass,01:14:09,02:31:04,2018, arnold,jack,GBR,9064.0,,
34,34,29.0,RAF Athletics,1623,M,18-39,Mass,01:12:09,02:31:05,2018, livesey,ben,GBR,9065.0,,
35,35,30.0,Sale Harriers Ma...,1381,M,18-39,Mass,01:16:30,02:31:09,2018, harrison,nathan,GBR,9069.0,,
36,36,31.0,Other,55260,M,18-39,Mass,01:12:04,02:31:25,2018, bussolotto,doriano,ITA,9085.0,,
37,37,32.0,Thames Valley Ha...,1798,M,18-39,Mass,01:14:44,02:31:29,2018, prigent,simon,GBR,9089.0,,
38,38,33.0,Clapham Chasers,1167,M,18-39,Mass,01:15:30,02:31:29,2018, van tuyl,alex,GBR,9089.0,,
39,39,6.0,Tipton Harriers,1908,M,40-44,Mass,01:12:19,02:31:39,2018, williams,martin,GBR,9099.0,,
40,40,34.0,Chorlton Runners,1530,M,18-39,Mass,01:14:44,02:31:51,2018, savage,james,GBR,9111.0,,
41,41,35.0,Bristol and West...,1736,M,18-39,Mass,01:12:24,02:32:00,2018, mckenna,jarlath,GBR,9120.0,,
42,42,36.0,Kent AC,1766,M,18-39,Mass,01:14:06,02:32:07,2018, avery,lawrence,GBR,9127.0,,
43,43,37.0,Tonbridge AC,1792,M,18-39,Mass,01:12:03,02:32:19,2018, cole,ben,GBR,9139.0,,
44,44,,,1992,M,,Mass,01:09:39,02:32:34,2018, roth,austin,USA,9154.0,,
27.0,17.0,17.0,,4,M,18-39,Elite,01:03:25,02:32:35,2018, adola,guye,ETH,9155.0,3805.0,
45,45,38.0,Reading Roadrun...,1738,M,18-39,Mass,01:17:19,02:32:39,2018, richards,matthew,GBR,9159.0,,
46,46,39.0,Leeds Universit...,1984,M,18-39,Mass,01:15:45,02:32:51,2018, sambrook,josh,GBR,9171.0,,
47,47,1.0,Headington RR,1947,M,45-49,Mass,01:14:39,02:32:51,2018, dettmar,christopher,GBR,9171.0,,
48,48,40.0,,31238,M,18-39,Mass,01:16:24,02:32:57,2018, lozano,marc,GBR,9177.0,,
49,49,41.0,London City Athle...,1339,M,18-39,Mass,01:10:07,02:32:58,2018, faherty,ciaran,NZL,9178.0,,
50,50,42.0,Dulwich Runners...,1628,M,18-39,Mass,01:14:50,02:33:02,2018, bowen,timothy,GBR,9182.0,,
51,51,43.0,Highgate Harriers,1504,M,18-39,Mass,01:15:05,02:33:07,2018, hawkings,peter,GBR,9187.0,,
52,52,7.0,Other,1407,M,40-44,Mass,01:12:56,02:33:14,2018, reid,iain,GBR,9194.0,,
53,53,44.0,New Forest Run...,1431,M,18-39,Mass,01:15:27,02:33:15,2018, pickburn,alastair,GBR,9195.0,,
54,54,45.0,,39843,M,18-39,Mass,01:14:53,02:33:22,2018, li,yipeng,CHN,9202.0,,
55,55,46.0,Belgrave Harriers,1909,M,18-39,Mass,01:13:54,02:33:23,2018, jaksevicius,andrius,GBR,9203.0,,
56,56,47.0,Mid Essex Casuals,1376,M,18-39,Mass,01:16:42,02:33:26,2018, harpur,charles,GBR,9206.0,,
57,57,48.0,Serpentine RC,1680,M,18-39,Mass,01:15:31,02:33:30,2018, gruot,xavier,GBR,9210.0,,
58,58,49.0,Serpentine RC,1726,M,18-39,Mass,01:14:16,02:34:01,2018, barnes,samuel,GBR,9241.0,,
59,59,50.0,Other,1286,M,18-39,Mass,01:16:01,02:34:05,2018, liddle,kevin,GBR,9245.0,,
60,60,51.0,West 4 Harriers,1456,M,18-39,Mass,01:14:44,02:34:07,2018, piper,paul,GBR,9247.0,,
61,61,52.0,Highgate Harriers,31760,M,18-39,Mass,01:14:20,02:34:13,2018, poolman,roger,GBR,9253.0,,
62,62,53.0,Leicester Corita...,1474,M,18-39,Mass,01:14:41,02:34:16,2018, jordan,chris,GBR,9256.0,,
63,63,54.0,Other,59961,M,18-39,Mass,01:13:41,02:34:17,2018, bowles,eric,USA,9257.0,,
64,64,55.0,Kent AC,1323,M,18-39,Mass,01:14:22,02:34:24,2018, bowler,james,GBR,9264.0,,
65,65,56.0,Sale Harriers Ma...,1357,M,18-39,Mass,01:14:44,02:34:37,2018, rowlinson,callum,GBR,9277.0,,
66,66,57.0,Ampthill & Flitwic...,1320,M,18-39,Mass,01:13:55,02:34:45,2018, palmer,craig,GBR,9285.0,,
67,67,8.0,Alchester Runnin...,1455,M,40-44,Mass,01:14:58,02:34:47,2018, veldhuis,jeroen,GBR,9287.0,,
68,68,58.0,Sunderland Harr...,1893,M,18-39,Mass,01:16:16,02:35:10,2018, jeffress,kevin,GBR,9310.0,,
69,69,59.0,Kent AC,1878,M,18-39,Mass,01:16:26,02:35:14,2018, anderson,gareth,GBR,9314.0,,
70,70,60.0,Victoria Park Har...,1778,M,18-39,Mass,01:17:21,02:35:15,2018, gurney,george,GBR,9315.0,,
71,71,61.0,Victoria Park Har...,1955,M,18-39,Mass,01:17:38,02:35:16,2018, cameron,ewan,GBR,9316.0,,
72,72,62.0,,2009,M,18-39,Mass,01:15:06,02:35:17,2018, bester,nicholas,RSA,9317.0,,
73,73,,,1993,M,,Mass,01:12:36,02:35:24,2018, simpson,jason,USA,9324.0,,
74,74,63.0,Bedford & Coun...,1655,M,18-39,Mass,01:15:36,02:35:37,2018, henderson,richard,GBR,9337.0,,
75,75,64.0,Reigate Priory AC,1677,M,18-39,Mass,01:17:15,02:35:43,2018, lett,stephen,GBR,9343.0,,
76,76,65.0,Cambridge Harriers,1573,M,18-39,Mass,01:15:22,02:35:49,2018, dickens,phil,GBR,9349.0,,
77,77,66.0,Ashford & Distri...,1412,M,18-39,Mass,01:14:29,02:35:52,2018, latala,robert,GBR,9352.0,,
78,78,9.0,NWRRC (North W...,1309,M,40-44,Mass,01:15:54,02:36:04,2018, green,martin,GBR,9364.0,,
79,79,67.0,,31270,M,18-39,Mass,01:13:47,02:36:05,2018, marriott,richard,GBR,9365.0,,
80,80,68.0,Thrift Green Tro...,1422,M,18-39,Mass,01:15:18,02:36:17,2018, cima,owen,GBR,9377.0,,
81,81,69.0,Victoria Park Har...,1302,M,18-39,Mass,01:17:02,02:36:28,2018, dale,joe,GBR,9388.0,,
82,82,70.0,UKnetrunner.co...,23587,M,18-39,Mass,01:17:33,02:36:28,2018, pope,robert,GBR,9388.0,,
83,83,71.0,Epsom & Ewell Ha...,1774,M,18-39,Mass,01:13:42,02:36:33,2018, garrod,ollie,GBR,9393.0,,
1.0,1.0,1.0,–,,M,18-39,Elite M,01:01:37,02:02:37,2019,kipchoge,eliud,KEN,7357.0,3697.0,
2.0,2.0,2.0,–,,M,18-39,Elite M,01:01:37,02:02:55,2019,geremew,mosinet,ETH,7375.0,3697.0,
3.0,3.0,3.0,–,,M,18-39,Elite M,01:01:37,02:03:16,2019,wasihun,mule,ETH,7396.0,3697.0,
4.0,4.0,4.0,–,,M,18-39,Elite M,01:01:37,02:05:01,2019,kitata,tola shura,ETH,7501.0,3697.0,
5.0,5.0,5.0,–,,M,18-39,Elite M,01:01:38,02:05:39,2019,farah,mo,GBR,7539.0,3698.0,
6.0,6.0,6.0,–,,M,18-39,Elite M,01:01:37,02:06:57,2019,tola,tamirat,ETH,7617.0,3697.0,
7.0,7.0,7.0,–,6.0,M,18-39,Elite M,01:03:20,02:07:03,2019,abdi,bashir,BEL,7623.0,3800.0,
8.0,8.0,8.0,–,,M,18-39,Elite M,01:01:37,02:07:15,2019,gebresilasie,leul,ETH,7635.0,3697.0,
9.0,9.0,9.0,–,9.0,M,18-39,Elite M,01:03:20,02:08:05,2019,rachik,yassine,ITA,7685.0,3800.0,
10.0,10.0,10.0,–,5.0,M,18-39,Elite M,01:03:21,02:08:14,2019,hawkins,callum,GBR,7694.0,3801.0,
11.0,11.0,11.0,–,,M,18-39,Elite M,01:01:38,02:08:40,2019,wanjiru,daniel,KEN,7720.0,3698.0,
12.0,12.0,12.0,–,,M,18-39,Elite M,01:01:38,02:09:18,2019,kipsang,wilson,KEN,7758.0,3698.0,
13.0,13.0,13.0,–,7.0,M,18-39,Elite M,01:03:25,02:10:55,2019,robinson,brett,AUS,7855.0,3805.0,
14.0,14.0,14.0,–,8.0,M,18-39,Elite M,01:05:07,02:11:06,2019,rayner,jack,AUS,7866.0,3907.0,
15.0,15.0,15.0,–,4.0,M,18-39,Elite M,01:05:08,02:11:10,2019,da silva,daniel chaves,BRA,7870.0,3908.0,
16.0,16.0,16.0,–,3.0,M,18-39,Elite M,01:03:25,02:11:46,2019,griffiths,dewi,GBR,7906.0,3805.0,
17.0,17.0,17.0,–,7.0,M,18-39,Elite M,01:05:08,02:11:55,2019,olefirenko,ihor,UKR,7915.0,3908.0,
18.0,18.0,18.0,–,1.0,M,18-39,Elite M,01:03:31,02:13:13,2019,szost,henryk,POL,7993.0,3811.0,
19.0,19.0,19.0,–,3.0,M,18-39,Elite M,01:05:08,02:13:25,2019,mellor,jonathan,GBR,8005.0,3908.0,
20.0,20.0,20.0,–,6.0,M,18-39,Elite M,01:05:08,02:13:34,2019,ayala,derlis,PAR,8014.0,3908.0,
21.0,21.0,21.0,–,8.0,M,18-39,Elite M,01:06:34,02:14:25,2019,griffiths,joshua,GBR,8065.0,3994.0,
22.0,22.0,22.0,–,3.0,M,18-39,Elite M,01:06:34,02:14:45,2019,de bock,thomas,BEL,8085.0,3994.0,
23.0,23.0,23.0,–,0.0,M,18-39,Elite M,01:06:35,02:14:56,2019,simpson,robbie,GBR,8096.0,3995.0,
24.0,24.0,24.0,–,7.0,M,18-39,Elite M,01:06:37,02:15:02,2019,leak,colin,USA,8102.0,3997.0,
25.0,25.0,25.0,–,9.0,M,18-39,Elite M,01:06:34,02:15:06,2019,clohisey,mick,IRL,8106.0,3994.0,
1,1,1.0,Shettleston Harriers,1451,M,18-39,Mass,1:05:04,02:17:21,2019,ghebresilasie,weynay,ERI,8241.0,,
2,2,2.0,Kent AC,1291,M,18-39,Mass,1:08:00,02:19:03,2019,gilbert,john,GBR,8343.0,,
3,3,3.0,Southport Waterloo AC,1246,M,18-39,Mass,1:09:22,02:20:03,2019,johnson,ben,GBR,8403.0,,
4,4,4.0,Enfield and Haringey A C,1456,M,18-39,Mass,1:09:30,02:20:08,2019,milne,alex,GBR,8408.0,,
5,5,5.0,Inverclyde AC,1362,M,18-39,Mass,1:07:58,02:20:29,2019,ruddy,craig,GBR,8429.0,,
6,6,6.0,Aldershot Farnham & District,1493,M,18-39,Mass,1:09:29,02:20:52,2019,morwood,joseph,GBR,8452.0,,
7,7,7.0,Hercules Wimbledon AC,1300,M,18-39,Mass,1:09:29,02:21:40,2019,ahmed,belal,EGY,8500.0,,
8,8,8.0,Leeds City Athletic Club,1269,M,18-39,Mass,1:10:51,02:22:49,2019,rowe,josh,GBR,8569.0,,
9,9,9.0,South London Harriers,1413,M,18-39,Mass,1:11:53,02:22:57,2019,gaffney,daniel,GBR,8577.0,,
10,10,1.0,Hercules Wimbledon AC,1815,M,40-44,Mass,1:10:03,02:23:08,2019,mcdowell,richard,GBR,8588.0,,
11,11,10.0,–,29581,M,18-39,Mass,1:11:28,02:23:21,2019,gonzalez rio,simon,ESP,8601.0,,
12,12,11.0,Bristol and West AC,1743,M,18-39,Mass,1:09:38,02:23:30,2019,allen,harry,GBR,8610.0,,
13,13,12.0,Bristol and West AC,1180,M,18-39,Mass,1:09:58,02:23:40,2019,bialogonski,maciej,POL,8620.0,,
14,14,13.0,Other,69781,M,18-39,Mass,1:10:02,02:23:48,2019,ulriksen,kristian,NOR,8628.0,,
15,15,14.0,Poole Runners,1512,M,18-39,Mass,1:12:01,02:24:07,2019,hogan,sean,GBR,8647.0,,
16,16,2.0,Serpentine RC,1531,M,40-44,Mass,1:11:27,02:24:18,2019,green,will,GBR,8658.0,,
17,17,15.0,Kent AC,1261,M,18-39,Mass,1:11:27,02:24:31,2019,lighting,peter,GBR,8671.0,,
18,18,16.0,Serpentine RC,1581,M,18-39,Mass,1:09:29,02:24:34,2019,greenleaf,andrew,GBR,8674.0,,
19,19,17.0,Belgrave Harriers,1796,M,18-39,Mass,1:11:17,02:24:38,2019,lee,garret,USA,8678.0,,
20,20,18.0,Highgate Harriers,1254,M,18-39,Mass,1:11:21,02:24:40,2019,bampton,alex,GBR,8680.0,,
21,21,19.0,Bedford & County AC,1702,M,18-39,Mass,1:12:16,02:24:58,2019,channing,michael,GBR,8698.0,,
22,22,20.0,Belgrave Harriers,1297,M,18-39,Mass,1:10:27,02:25:01,2019,jaksevicius,andrius,LTU,8701.0,,
23,23,21.0,Victoria Park Harriers and Tower Hamlets AC,1809,M,18-39,Mass,1:12:16,02:25:10,2019,cameron,ewan,GBR,8710.0,,
24,24,22.0,RAF Athletics,1615,M,18-39,Mass,1:12:16,02:25:12,2019,taylor,michael,GBR,8712.0,,
25,25,23.0,Serpentine RC,1642,M,18-39,Mass,1:11:53,02:25:20,2019,besson,nicolas,FRA,8720.0,,
26,26,24.0,Brighton & Hove AC,1635,M,18-39,Mass,1:12:16,02:25:26,2019,turner,james,GBR,8726.0,,
27,27,25.0,Kent AC,1299,M,18-39,Mass,1:11:26,02:25:31,2019,morgan,david,GBR,8731.0,,
28,28,3.0,Cambridge Harriers,1569,M,40-44,Mass,1:11:38,02:25:38,2019,shearer,ben,GBR,8738.0,,
29,29,1.0,Kent AC,1218,M,45-49,Mass,1:12:53,02:25:50,2019,greenwood,christopher,GBR,8750.0,,
30,30,26.0,Brighton Phoenix,1282,M,18-39,Mass,1:10:03,02:25:50,2019,skelton,ross,GBR,8750.0,,
31,31,27.0,Willowfield Harriers,1901,M,18-39,Mass,1:11:26,02:25:56,2019,woodman,aaron,GBR,8756.0,,
32,32,28.0,Serpentine RC,1349,M,18-39,Mass,1:13:16,02:26:03,2019,oddy,chris,GBR,8763.0,,
33,33,29.0,Other,69012,M,18-39,Mass,1:12:13,02:26:12,2019,kaehr,andrew,USA,8772.0,,
34,34,4.0,Hercules Wimbledon AC,1536,M,40-44,Mass,1:12:55,02:26:13,2019,evangelidis,dimosthenis,GRE,8773.0,,
35,35,5.0,Other,58282,M,40-44,Mass,1:12:18,02:26:15,2019,mosca,alberto,ITA,8775.0,,
36,36,30.0,–,29564,M,18-39,Mass,1:12:54,02:26:26,2019,grauwin,olivier,FRA,8786.0,,
37,37,31.0,Thames Valley Harriers,1381,M,18-39,Mass,1:13:16,02:26:39,2019,ellis,james,GBR,8799.0,,
38,38,32.0,Gateshead Harriers and AC,1790,M,18-39,Mass,1:11:55,02:26:48,2019,alexander,daniel,GBR,8808.0,,
39,39,33.0,Woodford Green AC with Essex Ladies,1810,M,18-39,Mass,1:12:15,02:27:00,2019,entwistle,joshua,GBR,8820.0,,
40,40,34.0,Other,58269,M,18-39,Mass,1:10:35,02:27:07,2019,bazzoni,gianmarco,ITA,8827.0,,
41,41,6.0,Kent AC,1879,M,40-44,Mass,1:12:02,02:27:17,2019,laing,robert,GBR,8837.0,,
42,42,35.0,Bracknell Forest Runners,1928,M,18-39,Mass,1:13:35,02:27:19,2019,kevern,neil,GBR,8839.0,,
43,43,36.0,University of Nottingham AC,24598,M,18-39,Mass,1:14:01,02:27:20,2019,mcgowan,féidhlim,IRL,8840.0,,
44,44,7.0,Other,1400,M,40-44,Mass,1:13:09,02:27:22,2019,roche,thomas,IRL,8842.0,,
45,45,37.0,Holme Pierrepont RC,29714,M,18-39,Mass,1:13:27,02:27:32,2019,bagley,daniel,GBR,8852.0,,
46,46,38.0,Serpentine RC,1693,M,18-39,Mass,1:13:08,02:27:39,2019,o'connor,scott,AUS,8859.0,,
47,47,39.0,–,29749,M,18-39,Mass,1:13:17,02:27:46,2019,bailey,ali,GBR,8866.0,,
48,48,8.0,Cambridge Harriers,1240,M,40-44,Mass,1:12:17,02:27:53,2019,kendall,danny,GBR,8873.0,,
49,49,40.0,New Forest Runners,1839,M,18-39,Mass,1:13:49,02:27:55,2019,pickburn,alastair,GBR,8875.0,,
50,50,41.0,Serpentine RC,1427,M,18-39,Mass,1:13:16,02:27:55,2019,gruot,xavier,FRA,8875.0,,
51,51,42.0,Serpentine RC,1881,M,18-39,Mass,1:12:39,02:27:57,2019,bontoft,max,GBR,8877.0,,
52,52,43.0,Windsor Slough Eton and Hounslow AC,1443,M,18-39,Mass,1:12:15,02:28:05,2019,millett,simon,GBR,8885.0,,
53,53,44.0,South London Harriers,1286,M,18-39,Mass,1:09:34,02:28:08,2019,quinn,kevin,GBR,8888.0,,
54,54,45.0,Hercules Wimbledon AC,1330,M,18-39,Mass,1:12:20,02:28:08,2019,blythe,adam,GBR,8888.0,,
55,55,46.0,Blaydon Harriers and AC,1870,M,18-39,Mass,1:13:47,02:28:12,2019,alderson,matthew,GBR,8892.0,,
56,56,47.0,Woking AC,1500,M,18-39,Mass,1:14:24,02:28:13,2019,blake,stephen,GBR,8893.0,,
57,57,48.0,Foyle Valley AC,1862,M,18-39,Mass,1:14:17,02:28:17,2019,slevin,gary,GBR,8897.0,,
58,58,49.0,Leeds City Athletic Club,1889,M,18-39,Mass,1:11:11,02:28:18,2019,cherriman,jason,GBR,8898.0,,
59,59,50.0,Other,58334,M,18-39,Mass,1:13:42,02:28:23,2019,wernsdörfer,mario,GER,8903.0,,
60,60,9.0,–,71260,M,40-44,Mass,1:13:55,02:28:28,2019,monta yapo,juan carlos,ESP,8908.0,,
61,61,51.0,Metro Aberdeen Running Club,1867,M,18-39,Mass,1:15:13,02:28:38,2019,richardson,chris,GBR,8918.0,,
62,62,52.0,Windsor Slough Eton & Hounslow AC,1980,M,18-39,Mass,1:13:25,02:28:39,2019,vardy,mark,GBR,8919.0,,
63,63,53.0,St Albans Striders,1509,M,18-39,Mass,1:13:40,02:28:41,2019,gibson,kurtis,GBR,8921.0,,
64,64,54.0,Tipton Harriers,1766,M,18-39,Mass,1:14:11,02:28:42,2019,bate,dean,GBR,8922.0,,
65,65,55.0,Dulwich Runners AC,1694,M,18-39,Mass,1:14:35,02:28:53,2019,bowen,timothy,IRL,8933.0,,
66,66,56.0,JP Morgan RC,1666,M,18-39,Mass,1:13:11,02:28:59,2019,handley,nicholas,GBR,8939.0,,
67,67,2.0,–,71208,M,45-49,Mass,1:13:56,02:28:59,2019,spies,wayne,AUS,8939.0,,
68,68,57.0,West 4 Harriers,1295,M,18-39,Mass,1:14:23,02:29:06,2019,piper,paul,GBR,8946.0,,
69,69,58.0,–,38204,M,18-39,Mass,1:14:20,02:29:07,2019,yosef,amir,ISR,8947.0,,
70,70,59.0,Wimborne AC,1447,M,18-39,Mass,1:14:25,02:29:09,2019,wood,christopher,GBR,8949.0,,
71,71,10.0,Bracknell Forest Runners,1905,M,40-44,Mass,1:14:20,02:29:10,2019,winning,glen,AUS,8950.0,,
72,72,60.0,Serpentine RC,1394,M,18-39,Mass,1:12:13,02:29:13,2019,o'connell,martin,GBR,8953.0,,
73,73,61.0,Kent AC,1878,M,18-39,Mass,1:12:21,02:29:21,2019,bowler,james,GBR,8961.0,,
74,74,62.0,Other,58332,M,18-39,Mass,1:13:43,02:29:23,2019,schönherr,david,GER,8963.0,,
75,75,63.0,Brentwood Running Club,1773,M,18-39,Mass,1:14:10,02:29:41,2019,prout,ryan,GBR,8981.0,,
1.0,1.0,1.0,–,8,M,18-39,Elite M,-,02:05:41,2020,kitata,shura,ETH,7541.0,,
2.0,2.0,2.0,–,9,M,18-39,Elite M,-,02:05:42,2020,kipchumba,vincent,KEN,7542.0,,
3.0,3.0,3.0,–,5,M,18-39,Elite M,-,02:05:45,2020,lemma,sisay,ETH,7545.0,,
4.0,4.0,4.0,–,3,M,18-39,Elite M,-,02:06:04,2020,geremew,mosinet,ETH,7564.0,,
5.0,5.0,5.0,–,4,M,18-39,Elite M,-,02:06:08,2020,wasihun,mule,ETH,7568.0,,
6.0,6.0,6.0,–,6,M,18-39,Elite M,-,02:06:41,2020,tola,tamirat,ETH,7601.0,,
7.0,7.0,7.0,–,46,M,18-39,Elite M,-,02:06:42,2020,kipruto,benson,KEN,7602.0,,
8.0,8.0,8.0,–,1,M,18-39,Elite M,-,02:06:49,2020,kipchoge,eliud,KEN,7609.0,,
9.0,9.0,9.0,–,10,M,18-39,Elite M,-,02:09:01,2020,nordstad moen,sondre,NOR,7741.0,,
10.0,10.0,10.0,–,7,M,18-39,Elite M,-,02:09:25,2020,kipserem,marius,KEN,7765.0,,
11.0,11.0,11.0,–,23,M,18-39,Elite M,-,02:09:49,2020,scullion,stephen,IRL,7789.0,,
12.0,12.0,12.0,–,20,M,18-39,Elite M,-,02:10:06,2020,herzog,peter,AUT,7806.0,,
13.0,13.0,13.0,Liverpool Harriers,15,M,18-39,Elite M,-,02:10:38,2020,mellor,jonathan,GBR,7838.0,,
14.0,14.0,14.0,–,26,M,18-39,Elite M,-,02:10:51,2020,woodfine,tristan,CAN,7851.0,,
15.0,15.0,15.0,Derby AC,45,M,18-39,Elite M,-,02:11:20,2020,connor,ben,GBR,7880.0,,
16.0,16.0,16.0,–,19,M,18-39,Elite M,-,02:11:37,2020,luis barrios,juan,MEX,7897.0,,
17.0,17.0,17.0,–,13,M,18-39,Elite M,-,02:12:38,2020,ward,jared,USA,7958.0,,
18.0,18.0,18.0,Swansea,30,M,18-39,Elite M,-,02:13:11,2020,griffiths,joshua,GBR,7991.0,,
19.0,19.0,19.0,Aldershot Farnham & District,22,M,18-39,Elite M,-,02:13:32,2020,thompson,chris,GBR,8012.0,,
20.0,20.0,20.0,Liverpool Harriers,29,M,18-39,Elite M,-,02:13:34,2020,hulson,charlie,GBR,8014.0,,
21.0,21.0,21.0,–,33,M,18-39,Elite M,-,02:13:50,2020,frans,melikhaya,RSA,8030.0,,
22.0,22.0,22.0,–,12,M,18-39,Elite M,-,02:14:25,2020,gabius,arne,GER,8065.0,,
23.0,23.0,23.0,–,11,M,18-39,Elite M,-,02:14:36,2020,kipketer,gideon,KEN,8076.0,,
24.0,24.0,24.0,Southend,38,M,18-39,Elite M,-,02:17:38,2020,hickey,adam,GBR,8258.0,,
25.0,25.0,25.0,Bedford & County,42,M,18-39,Elite M,-,02:17:59,2020,lunn,josh,GBR,8279.0,,
1.0,1.0,1.0,–,,M,18-39,Elite,1:01:26,02:04:01,2021,lemma,sisay,ETH,7441.0,3686.0,
2.0,2.0,2.0,–,,M,18-39,Elite,1:01:25,02:04:28,2021,kipchumba,vincent,KEN,7468.0,3685.0,
3.0,3.0,3.0,–,,M,18-39,Elite,1:01:25,02:04:41,2021,geremew,mosinet,ETH,7481.0,3685.0,
4.0,4.0,4.0,–,,M,18-39,Elite,1:01:26,02:05:43,2021,chebet,evans,KEN,7543.0,3686.0,
5.0,5.0,5.0,–,,M,18-39,Elite,1:01:25,02:06:10,2021,legese,birhanu,ETH,7570.0,3685.0,
6.0,6.0,6.0,–,,M,18-39,Elite,1:02:59,02:07:51,2021,kitata,shura,ETH,7671.0,3779.0,
7.0,7.0,7.0,Leeds City,5.0,M,18-39,Elite,1:05:11,02:12:58,2021,sesemann,philip,GBR,7978.0,3911.0,
8.0,8.0,8.0,Swansea,2.0,M,18-39,Elite,1:05:46,02:13:39,2021,griffiths,joshua,GBR,8019.0,3946.0,
9.0,9.0,9.0,Bedford & County,9.0,M,18-39,Elite,1:07:27,02:15:31,2021,leach,matthew,GBR,8131.0,4047.0,
10.0,10.0,1.0,Stockport,5.0,M,40-44,Elite,1:07:27,02:15:36,2021,davies,andrew,GBR,8136.0,4047.0,
11.0,11.0,10.0,Liverpool Harriers,,M,18-39,Elite,1:05:16,02:16:09,2021,mellor,jonathan,GBR,8169.0,3916.0,
12.0,12.0,11.0,Shettleston,8.0,M,18-39,Elite,1:05:12,02:16:27,2021,ghebreselassie,weynay,GBR,8187.0,3912.0,
13.0,13.0,12.0,Liverpool Harriers,4.0,M,18-39,Elite,1:07:27,02:17:02,2021,hulson,charlie,GBR,8222.0,4047.0,
16.0,14.0,13.0,Cardiff AC,0.0,M,18-39,Elite,1:07:45,02:18:06,2021,lunn,josh,GBR,8286.0,4065.0,
18.0,15.0,14.0,Thames Valley,1.0,M,18-39,Elite,1:05:14,02:18:19,2021,aadan,mohamud,GBR,8299.0,3914.0,
19.0,16.0,2.0,Sepentine,6.0,M,40-44,Elite,1:07:45,02:18:39,2021,torry,nicholas,GBR,8319.0,4065.0,
1,1,1.0,–,1622,M,18-39,Mass,1:07:23,02:18:42,2021,wilson,kenny,GBR,8322.0,,
2,2,2.0,–,1252,M,18-39,Mass,1:09:10,02:19:23,2021,dickinson,matthew,GBR,8363.0,,
3,3,3.0,–,895,M,18-39,Mass,1:08:30,02:19:33,2021,braden,ross,GBR,8373.0,,
4,4,4.0,–,976,M,18-39,Mass,1:08:12,02:20:16,2021,connor,james,GBR,8416.0,,
5,5,5.0,–,1314,M,18-39,Mass,1:09:51,02:20:25,2021,bowker,nick,GBR,8425.0,,
22.0,17.0,15.0,Notts AC,3.0,M,18-39,Elite,1:07:27,02:20:28,2021,musson,doug,GBR,8428.0,4047.0,
6,6,6.0,–,1698,M,18-39,Mass,1:07:23,02:20:50,2021,payne,tony,THA,8450.0,,
7,7,1.0,–,1066,M,40-44,Mass,1:09:52,02:21:36,2021,welborn,karl,GBR,8496.0,,
8,8,7.0,–,919,M,18-39,Mass,1:09:50,02:22:20,2021,morwood,joe,GBR,8540.0,,
27.0,18.0,16.0,Central ,4.0,M,18-39,Elite,1:07:28,02:22:48,2021,crowe,jamie,GBR,8568.0,4048.0,
9,9,2.0,–,1271,M,40-44,Mass,1:09:49,02:23:06,2021,mcdowell,richard,GBR,8586.0,,
10,10,3.0,–,48627,M,40-44,Mass,1:08:26,02:23:07,2021,ploner,markus,ITA,8587.0,,
11,11,8.0,–,841,M,18-39,Mass,1:11:22,02:23:11,2021,yates,gregor,GBR,8591.0,,
12,12,9.0,–,1001,M,18-39,Mass,1:12:11,02:23:34,2021,hogan,sean,GBR,8614.0,,
29.0,19.0,17.0,–,0.0,M,18-39,Elite,1:05:22,02:23:35,2021,woodfine,tristan,CAN,8615.0,3922.0,
