"Last Name, First Name",Time,OverAll,Sex Place,DIV,"City, State, Country",AG Time*
Ewen North (M33),2:31:30,82,76 / 22,M30-34,"Louisville, CO, USA",2:31:30
Julius Rotich (M36),2:31:36,83,77 / 10,M35-39,"West Des Moines, IA, USA",2:31:26
Wesley Szehner (M24),2:31:44,84,78 / 10,M20-24,"Sacramento, CA, USA",2:31:44
Alex White (M27),2:31:47,85,79 / 35,M25-29,"Somerville, MA, USA",2:31:47
Stefan Kolata (M30),2:31:55,86,80 / 23,M30-34,"Washington, DC, USA",2:31:55
Todd Ptacek (M26),2:31:59,87,81 / 36,M25-29,"Chicago, IL, USA",2:31:59
Chris Curto (M31),2:32:04,88,82 / 24,M30-34,"Lambertville, NJ, USA",2:32:04
Jason Parks (M29),2:32:19,89,83 / 37,M25-29,"Pendleton, IN, USA",2:32:19
Grzegorz Czyz (M44),2:32:29,90,84 / 3,M40-44,"Bogumilowice, 33-121, POL",2:23:55
Hans Otten (M33),2:32:30,91,85 / 25,M30-34,"Beaverton, OR, USA",2:32:30
Daniel Goding (M35),2:32:44,92,86 / 11,M35-39,"Loveland, CO, USA",2:32:44
Eugene Daly (M32),2:32:44,93,87 / 26,M30-34,"Hoboken, NJ, USA",2:32:44
Michael Pierce (M24),2:32:48,94,88 / 11,M20-24,"Blue Springs, MO, USA",2:32:48
Giuseppe Stara (M36),2:32:48,95,89 / 12,M35-39,"Solarussa - Oristano, ITALY, ITA",2:32:38
Richard Heffron (M28),2:32:50,96,90 / 38,M25-29,"Chicago, IL, USA",2:32:50
Vince Bechard (M23),2:32:51,97,91 / 12,M20-24,"Dearborn, MI, USA",2:32:51
Yue Chao (F20),2:32:57,98,7 / 2,F20-24,CHN,2:32:50
Ramin Razavi (M33),2:33:07,99,92 / 27,M30-34,"Boulder, CO, USA",2:33:07
Dave Lyons (M28),2:33:08,100,93 / 39,M25-29,"Portland, OR, USA",2:33:08
