"Last Name, First Name",Time,OverAll,Sex Place,DIV,Country
Seifu Tura Abdiwak (M),2:06:12,1,1 / 1,MElite20-24,Ethiopia
Galen Rupp (M),2:06:35,2,2 / 1,MElite35-39,USA
Eric Kiptanui (M),2:06:51,3,3 / 1,MElite30-34,Kenya
Kengo Suzuki (M),2:08:50,4,4 / 1,MElite25-29,Japan
Shifera Tamru Aredo (M),2:09:39,5,5 / 2,MElite20-24,Ethiopia
Colin Mickow (M),2:13:31,6,6 / 2,MElite30-34,USA
Nico Montanez (M),2:13:55,7,7 / 2,MElite25-29,USA
Reuben Kiprop Kipyego (M),2:14:24,8,8 / 3,MElite25-29,Kenya
Reed Fischer (M),2:14:41,9,9 / 4,MElite25-29,USA
Wilkerson Given (M),2:14:55,10,10 / 3,MElite30-34,USA
Zachery Panning (M),2:15:04,11,11 / 5,MElite25-29,USA
Jacob Thomson (M),2:15:49,12,12 / 6,MElite25-29,USA
Clayton Young (M),2:16:07,13,13 / 7,MElite25-29,USA
Turner Wiley (M),2:16:51,14,14 / 8,MElite25-29,USA
Chris Derrick (M),2:18:02,15,15 / 4,MElite30-34,USA
Josh Izewski (M),2:18:49,16,16 / 5,MElite30-34,USA
Ian Butler (M),2:20:01,17,17 / 6,MElite30-34,USA
Jonathan Phillips (M),2:20:11,18,18 / 1,M25-29,USA
Kevin Havel (M),2:20:40,19,19 / 1,M30-34,USA
Mike Sayenko (M),2:22:15,20,20 / 2,MElite35-39,USA
Ruth Chepngetich (F),2:22:31,21,1 / 9,FElite25-29,Kenya
Benjamin Schneiderman (M),2:22:55,22,21 / 2,M25-29,USA
Tyler Jermann (M),2:23:21,23,22 / 10,MElite25-29,USA
Calum Neff (M),2:23:47,24,23 / 1,M35-39,Canada
Mitchell Ammons (M),2:23:56,25,24 / 2,M30-34,USA
Emma Bates (F),2:24:20,26,2 / 11,FElite25-29,USA
Zack Beavin (M),2:24:29,27,25 / 3,M25-29,USA
David O'Gara (M),2:24:35,28,26 / 4,M25-29,USA
Oscar Medina (M),2:24:46,29,27 / 12,MElite25-29,USA
Brett Lustgarten (M),2:24:53,30,28 / 7,MElite30-34,USA
Chalu Deso (M),2:24:56,31,29 / 3,MElite20-24,Ethiopia
Charles Remillard (M),2:25:05,32,30 / 5,M25-29,USA
Ian La Mere (M),2:25:09,33,31 / 13,MElite25-29,USA
Alexander Diltz (M),2:25:38,34,32 / 6,M25-29,USA
Ben Kendell (M),2:25:40,35,33 / 14,MElite25-29,USA
Matt Hensley (M),2:26:10,36,34 / 3,M30-34,USA
Abdisamed Abdi (M),2:26:54,37,35 / 15,MElite25-29,USA
Jason Parks (M),2:27:13,38,36 / 4,M30-34,USA
Scott Olberding (M),2:27:17,39,37 / 5,M30-34,USA
Sara Hall (F),2:27:19,40,3 / 3,FElite35-39,USA
Chris Fyock (M),2:27:53,41,38 / 6,M30-34,USA
Johnny Binzak (M),2:28:08,42,39 / 7,M25-29,USA
Eric Ashe (M),2:28:18,43,40 / 7,M30-34,USA
Keira D'Amato (F),2:28:22,44,4 / 4,FElite35-39,USA
Hon Nip Hanniel Chow (M),2:28:34,45,41 / 1,M20-24,"Hong Kong, China"
Kurt Roeser (M),2:28:35,46,42 / 8,MElite30-34,USA
Curtis Weisenberger (M),2:28:45,47,43 / 8,M30-34,USA
Nick Ross (M),2:28:56,48,44 / 9,M30-34,USA
Vivian Jerono Kiplagat (F),2:29:14,49,5 / 16,FElite25-29,Kenya
Gizachew Fanta (M),2:29:15,50,45 / 10,M30-34,Israel
Daniel Craighead (M),2:29:21,51,46 / 11,M30-34,USA
Juan Martinez (M),2:29:57,52,47 / 12,M30-34,Colombia
Joe Cowlin (M),2:30:12,53,48 / 8,M25-29,USA
Nathanael Williams (M),2:30:13,54,49 / 9,M25-29,USA
Maegan Krifchin (F),2:30:17,55,6 / 9,FElite30-34,USA
Zachary Ornelas (M),2:30:27,56,50 / 13,M30-34,USA
Audie McRae (M),2:31:18,57,51 / 2,M35-39,USA
Cody Sedbrook (M),2:31:29,58,52 / 10,M25-29,USA
Matthew Hillard (M),2:31:30,59,53 / 14,M30-34,USA
John Liddell (M),2:31:34,60,54 / 15,M30-34,USA
David Melly (M),2:31:43,61,55 / 11,M25-29,USA
Carrie Verdon (F),2:31:51,62,7 / 17,FElite25-29,USA
Jordan Tropf (M),2:31:54,63,56 / 12,M25-29,USA
Alex Goldberg (M),2:32:01,64,57 / 13,M25-29,USA
Ismain Hernandez Escalona (M),2:32:24,65,58 / 16,M30-34,Mexico
Angel Cerda Vazquez (M),2:32:26,66,59 / 17,M30-34,Mexico
Matt Dewald (M),2:32:36,67,60 / 3,M35-39,USA
Peter Falcon (M),2:32:43,68,61 / 18,M30-34,USA
Francois Landry (M),2:32:45,69,62 / 1,M45-49,Canada
