"Last Name, First Name",Time,OverAll,Sex Place,DIV,Country
Kelvin Kiptum (M),2:00:35,1,1 / 1,M20-24, Kenya
Benson Kipruto (M),2:04:02,2,2 / 1,M30-34, Kenya
Bashir Abdi (M),2:04:32,3,3 / 2,M30-34, Belgium
John Korir (M),2:05:09,4,4 / 1,M25-29, Kenya
Seifu Tura Abdiwak (M),2:05:29,5,5 / 2,M25-29, Ethiopia
Conner Mantz (M),2:07:47,6,6 / 3,M25-29,USA
Clayton Young (M),2:08:00,7,7 / 3,M30-34,USA
Galen Rupp (M),2:08:48,8,8 / 1,M35-39,USA
Sam Chelanga (M),2:08:50,9,9 / 2,M35-39,USA
Takashi Ichida (M),2:08:57,10,10 / 4,M30-34, Japan
Brian Shrader (M),2:09:46,11,11 / 5,M30-34,USA
Wesley Kiptoo (M),2:10:28,12,12 / 2,M20-24, Kenya
Matt McDonald (M),2:10:34,13,13 / 6,M30-34,USA
Joel Reichow (M),2:10:37,14,14 / 7,M30-34,USA
Andrew Colley (M),2:11:22,15,15 / 8,M30-34,USA
Kevin Salvano (M),2:11:26,16,16 / 4,M25-29,USA
Dawit Wolde (M),2:11:33,17,17 / 9,M30-34, Ethiopia
Frank Lara (M),2:12:57,18,18 / 5,M25-29,USA
Jordan Gusman (M),2:13:13,19,19 / 6,M25-29, Malta
Stepan Kiselev (M),2:13:26,20,20 / 3,M35-39, Russia
Sifan Hassan (F),2:13:44,21,1 / 1,F30-34, Netherlands
Masashi Nonaka (M),2:14:58,22,21 / 7,M25-29, Japan
Masaki Tsuda (M),2:15:24,23,22 / 3,M20-24, Japan
Ruth Chepngetich (F),2:15:37,24,2 / 1,F25-29, Kenya
Connor Winter (M),2:15:51,25,23 / 10,M30-34,USA
Tyler Jermann (M),2:16:23,26,24 / 11,M30-34,
Julian Heninger (M),2:16:48,27,25 / 8,M25-29,USA
Eric Vazquez Olivas (M),2:17:04,28,26 / 4,M20-24,USA
Megertu Alemu (F),2:17:09,29,3 / 2,F25-29, Ethiopia
Benjamin Payne (M),2:17:15,30,27 / 1,M40-44,
Cameron Dickson (M),2:17:15,31,28 / 9,M25-29,USA
Kevin McDonnell (M),2:17:22,32,29 / 12,M30-34,USA
Joyciline Jepkosgei (F),2:17:23,33,4 / 3,F25-29, Kenya
Mizuki Higashi (M),2:17:55,34,30 / 10,M25-29, Japan
Oscar Medina (M),2:18:27,35,31 / 13,M30-34,USA
Yuki Matsumura (M),2:18:59,36,32 / 14,M30-34, Japan
Mauricio Mendez (M),2:19:00,37,33 / 11,M25-29, Mexico
Marc-Antoine Senneville (M),2:19:19,38,34 / 12,M25-29, Canada
Scott Nelson (M),2:19:43,39,35 / 13,M25-29,USA
Alec Sandusky (M),2:19:46,40,36 / 14,M25-29,USA
Jeff Thies (M),2:19:54,41,37 / 15,M25-29,USA
Tadu Teshome Nare (F),2:20:04,42,5 / 1,F20-24, Ethiopia
Carlos Cabrera (M),2:20:04,43,38 / 5,M20-24,USA
Mitchell Baum (M),2:20:23,44,39 / 16,M25-29,USA
Derek Alcorn (M),2:20:46,45,40 / 15,M30-34,USA
David Cisewski (M),2:20:53,46,41 / 2,M40-44,USA
Matt Young (M),2:20:53,47,42 / 17,M25-29,USA
Esteban Trujillo (M),2:21:16,48,43 / 4,M35-39,USA
Andrew Gelston (M),2:21:21,49,44 / 16,M30-34,USA
Corbin Harris (M),2:21:42,50,45 / 18,M25-29,USA
Genzebe Dibaba Keneni (F),2:21:47,51,6 / 2,F30-34, Ethiopia
Michael Iacofano (M),2:21:51,52,46 / 19,M25-29,USA
Simon Ricci (M),2:21:54,53,47 / 20,M25-29,USA
Emily Sisson (F),2:22:09,54,7 / 3,F30-34,USA
Nicholas Yanek (M),2:22:16,55,48 / 6,M20-24,USA
Cody Mather (M),2:22:17,56,49 / 21,M25-29,USA
Josh Rosenkranz (M),2:22:32,57,50 / 22,M25-29,USA
Harrison Toney (M),2:22:33,58,51 / 17,M30-34,USA
Connor Rockett (M),2:22:37,59,52 / 23,M25-29,USA
Daniel Pederson (M),2:22:52,60,53 / 24,M25-29,USA
Molly Seidel (F),2:23:07,61,8 / 4,F25-29,USA
Cameron Beckett (M),2:23:11,62,54 / 18,M30-34,USA
Rose Harvey (F),2:23:21,63,9 / 4,F30-34, Great Britain
Sara Vaughn (F),2:23:24,64,10 / 1,F35-39,USA
David Gaertlein (M),2:23:33,65,55 / 19,M30-34, Germany
Nick Jamnick (M),2:23:45,66,56 / 20,M30-34,USA
Paolo Tiongson (M),2:23:45,67,57 / 7,M20-24,USA
Leonardo De Olinda (M),2:23:47,68,58 / 21,M30-34, Brazil
Alex Turner (M),2:23:58,69,59 / 25,M25-29,USA
Daniel Craighead (M),2:24:04,70,60 / 22,M30-34,USA
Cesar Lizano Cedeno (M),2:24:05,71,61 / 3,M40-44, Costa Rica
Jesus Gonzalez Cidon (M),2:24:05,72,62 / 23,M30-34, Spain
John Liddell (M),2:24:22,73,63 / 24,M30-34,
Nick Impey (M),2:24:23,74,64 / 4,M40-44, Great Britain
Nicholas Chudzik (M),2:24:26,75,65 / 8,M20-24,USA
Brad Ziegler (M),2:24:28,76,66 / 26,M25-29,USA
Gabriella Rooker (F),2:24:35,77,11 / 2,F35-39,USA
Johnathan Bowen (M),2:24:38,78,67 / 9,M20-24,USA
Ryan Wojdyla (M),2:24:38,79,68 / 25,M30-34,USA
David Sevcik (M),2:24:39,80,69 / 26,M30-34,USA
Dakotah Lindwurm (F),2:24:40,81,12 / 5,F25-29,USA
Tyler Smith (M),2:24:41,82,70 / 27,M25-29,USA
Nicolas Jirot (M),2:24:47,83,71 / 5,M40-44, Canada
Cody Sedbrook (M),2:24:50,84,72 / 28,M25-29,USA
William Cadwell (M),2:24:59,85,73 / 29,M25-29,USA
Emma Bates (F),2:25:04,86,13 / 5,F30-34,USA
Tyler Opdycke (M),2:25:08,87,74 / 10,M20-24,USA
Dennis Ryan (M),2:25:35,88,75 / 27,M30-34,USA
Dominic Voehler (M),2:25:38,89,76 / 30,M25-29,USA
Kai Wiggins (M),2:25:44,90,77 / 31,M25-29,USA
Romain Louis (M),2:25:47,91,78 / 28,M30-34, France
Steven Lawrence (M),2:25:51,92,79 / 1,M45-49, Canada
Trevor Conde (M),2:25:51,93,80 / 29,M30-34,USA
Tristin Van Ord (F),2:25:58,94,14 / 6,F25-29,USA
Thomas Almond (M),2:26:02,95,81 / 30,M30-34, Great Britain
David Hudson (M),2:26:14,96,82 / 6,M40-44, Great Britain
Aaron Sherf (M),2:26:20,97,83 / 31,M30-34,USA
Alex Gold (M),2:26:32,98,84 / 32,M25-29,USA
Ben Cole (M),2:26:32,99,85 / 5,M35-39, Great Britain
Jackson Lindquist (M),2:26:37,100,86 / 32,M30-34,USA
