"Last Name, First Name",Time,OverAll,Sex Place,DIV,"City, State, Country",AG Time*
Dennis Kimetto (M29),2:03:45,1,1 / 1,M25-29,KEN,2:03:45
Emannuel Mutai (M28),2:03:52,2,2 / 2,M25-29,KEN,2:03:52
Sammy Kitwara (M26),2:05:16,3,3 / 3,M25-29,KEN,2:05:16
Micah Kogo (M27),2:06:56,4,4 / 4,M25-29,KEN,2:06:56
Dathan Ritzenhein (M30),2:09:45,5,5 / 1,M30-34,USA,2:09:45
Ayele Abshero (M22),2:10:10,6,6 / 1,M20-24,ETH,2:10:06
Hiroaki Sano (M29),2:10:29,7,7 / 5,M25-29,JPN,2:10:29
Moses Mosop (M28),2:11:19,8,8 / 6,M25-29,KEN,2:11:19
Yoshinori Oda (M32),2:11:29,9,9 / 2,M30-34,JPN,2:11:29
Matt Tegenkamp (M31),2:12:28,10,10 / 3,M30-34,USA,2:12:28
Mike Kigen (M27),2:12:40,11,11 / 7,M25-29,KEN,2:12:40
Michael Shelley (M29),2:13:09,12,12 / 8,M25-29,AUS,2:13:09
Kenji Higashino (M26),2:13:52,13,13 / 9,M25-29,JPN,2:13:52
Craig Leon (M28),2:13:52,14,14 / 10,M25-29,"Eugene, OR, USA",2:13:52
Norihide Fujimori (M28),2:13:54,15,15 / 11,M25-29,JPN,2:13:54
Mike Morgan (M33),2:15:01,16,16 / 4,M30-34,USA,2:15:01
Fidele Jefferson (M35),2:15:18,17,17 / 1,M35-39,"Flagstaff, AZ, USA",2:15:18
Hiroki Tanaka (M30),2:15:35,18,18 / 5,M30-34,JPN,2:15:35
Jared Ward (M25),2:16:17,19,19 / 12,M25-29,USA,2:16:17
Yoshiki Otsuka (M30),2:16:57,20,20 / 6,M30-34,JPN,2:16:57
Pius Nyantika (M27),2:17:38,21,21 / 13,M25-29,"Louisville, KY, KEN",2:17:38
Sean Quigley (M28),2:17:45,22,22 / 14,M25-29,USA,2:17:45
Brandon Mull (M27),2:18:14,23,23 / 15,M25-29,"Chicago, IL, USA",2:18:14
Eric Loeffler (M36),2:18:39,24,24 / 2,M35-39,"Fargo, ND, USA",2:18:30
Dan Kremske (M24),2:18:52,25,25 / 2,M20-24,"Woodstock, IL, USA",2:18:52
Matt Dewald (M31),2:19:30,26,26 / 7,M30-34,"Denver, CO, USA",2:19:30
Travis Boyd (M29),2:19:56,27,27 / 16,M25-29,"Edmonds, WA, USA",2:19:56
Rita Jeptoo (F32),2:19:57,28,1 / 1,F30-34,KEN,2:19:27
Christopher Pannone (M27),2:20:40,29,28 / 17,M25-29,"Gardiner, NY, USA",2:20:40
