"Last Name, First Name",Time,OverAll,Sex Place,DIV,Net Time,Country,AG Time*
Alex Taylor (M29),2:28:47,73,68 / 35,M25-29,2:28:44,USA,2:28:44
Deena Kastor (F36),2:28:50,74,6 / 4,F35-39,2:28:50,USA,2:25:58
James Akita (M29),2:29:10,75,69 / 36,M25-29,2:29:10,USA,2:29:10
Mizuho Nasukawa (F29),2:29:22,76,7 / 2,F25-29,2:29:22,JPN,2:29:22
Dave J Welsh (M32),2:29:27,77,70 / 13,M30-34,2:29:24,USA,2:29:24
Eric M Schliemann (M28),2:29:43,78,71 / 37,M25-29,2:29:38,USA,2:29:38
Scott Barnacle (M35),2:29:48,79,72 / 9,M35-39,2:29:42,USA,2:29:42
Matt Field (M24),2:29:46,80,73 / 14,M20-24,2:29:44,USA,2:29:44
Albert Wint (M29),2:29:58,81,74 / 38,M25-29,2:29:55,USA,2:29:55
David Savard Gagnon (M27),2:30:02,82,75 / 39,M25-29,2:29:57,CAN,2:29:57
Todd Neville (M35),2:30:19,83,76 / 10,M35-39,2:30:14,USA,2:30:14
Seth L Kampf (M24),2:30:17,84,77 / 15,M20-24,2:30:15,USA,2:30:15
Phillip W Sneller (M30),2:30:29,85,78 / 14,M30-34,2:30:26,USA,2:30:26
Matt Sheehan (M27),2:30:39,86,79 / 40,M25-29,2:30:35,USA,2:30:35
Bob Schwelm (M50),2:30:55,87,80 / 1,M50-54,2:30:52,USA,2:15:07
Erik D Forehand (M26),2:31:10,88,81 / 41,M25-29,2:30:59,USA,2:30:59
Adam S Riddle (M28),2:31:14,89,82 / 42,M25-29,2:31:11,USA,2:31:11
Eric Wallor (M26),2:31:28,90,83 / 43,M25-29,2:31:18,USA,2:31:18
Jeffrey R Pentek (M23),2:31:34,91,84 / 16,M20-24,2:31:32,USA,2:31:32
Justin Johnson (M26),2:32:06,92,85 / 44,M25-29,2:31:50,USA,2:31:50
Bill Hibdon (M29),2:32:18,93,86 / 45,M25-29,2:31:53,USA,2:31:53
Steven J Lawrence (M31),2:31:59,94,87 / 15,M30-34,2:31:56,USA,2:31:56
Ryan M Field (M25),2:32:22,95,88 / 46,M25-29,2:32:20,USA,2:32:20
Michel L Jacques (M26),2:32:28,96,89 / 47,M25-29,2:32:26,USA,2:32:26
Mark A Wehrman (M23),2:32:36,97,90 / 17,M20-24,2:32:31,USA,2:32:31
Ben J Schneider (M25),2:32:40,98,91 / 48,M25-29,2:32:33,USA,2:32:33
Simon Pierre Landry (M23),2:32:38,99,92 / 18,M20-24,2:32:37,CAN,2:32:37
Timothy F Willcox (M31),2:32:44,100,93 / 16,M30-34,2:32:42,USA,2:32:42
