"Last Name, First Name",Time,OverAll,Sex Place,DIV,"City, State, Country",AG Time*
Tsegaye Kebede (M25),2:04:38,1,1 / 1,M25-29,ETH,2:04:38
Feyisa Lilesa (M22),2:04:52,2,2 / 1,M20-24,ETH,2:04:48
Tilahun Regassa (M22),2:05:27,3,3 / 2,M20-24,ETH,2:05:23
Sammy Kitwara (M25),2:05:54,4,4 / 2,M25-29,KEN,2:05:54
Wesley Korir (M29),2:06:13,5,5 / 3,M25-29,KEN,2:06:13
Bernard Kipyego (M26),2:06:40,6,6 / 4,M25-29,KEN,2:06:40
Samuel Ndungu (M24),2:07:26,7,7 / 3,M20-24,KEN,2:07:26
Dadi Yami (M30),2:07:43,8,8 / 1,M30-34,ETH,2:07:43
Dathan Ritzenhein (M29),2:07:47,9,9 / 5,M25-29,USA,2:07:47
Shami Dawit (M28),2:08:39,10,10 / 6,M25-29,ETH,2:08:39
Laban Korir (M26),2:09:52,11,11 / 7,M25-29,KEN,2:09:52
Levy Matebo (M22),2:10:02,12,12 / 4,M20-24,KEN,2:09:58
Michael Kipyego (M29),2:10:02,13,13 / 8,M25-29,KEN,2:10:02
Koji Kobayashi (M23),2:10:40,14,14 / 5,M20-24,JPN,2:10:40
Takeshi Kumamoto (M28),2:11:47,15,15 / 9,M25-29,JPN,2:11:47
Jeffrey Eggleston (M28),2:12:03,16,16 / 10,M25-29,"Flagstaff, AZ, USA",2:12:03
Hiroki Kadota (M27),2:13:39,17,17 / 11,M25-29,JPN,2:13:39
Carlos Trujillo (M27),2:14:21,18,18 / 12,M25-29,USA,2:14:21
Drew Polley (M26),2:15:12,19,19 / 13,M25-29,USA,2:15:12
Craig Leon (M27),2:15:38,20,20 / 14,M25-29,"Eugene, OR, USA",2:15:38
Patrick Rizzo (M29),2:15:44,21,21 / 15,M25-29,USA,2:15:44
Malcolm Richards (M29),2:17:00,22,22 / 16,M25-29,"San Francisco, CA, USA",2:17:00
Stephen Pifer (M27),2:18:19,23,23 / 17,M25-29,"Jacksonville, FL, USA",2:18:19
Thomas Frazer (M31),2:18:37,24,24 / 2,M30-34,"Lake Foprest, IL, USA",2:18:37
Carlos Carballo (M30),2:19:01,25,25 / 3,M30-34,"Cathedral City, CA, USA",2:19:01
Jimmy Grabow (M28),2:19:03,26,26 / 18,M25-29,"Running Springs, CA, USA",2:19:03
Benard Onsare (M29),2:19:36,27,27 / 19,M25-29,"Calgary, AB, Canada",2:19:36
Stephen Muturi (M37),2:19:37,28,28 / 1,M35-39,KEN,2:19:03
Tyler Jones (M23),2:19:39,29,29 / 6,M20-24,"Chalfont, PA, USA",2:19:39
