"Last Name, First Name",Time,OverAll,Sex Place,DIV,"City, State, Country",AG Time*
Eliud Kipchoge (M29),2:04:11,1,1 / 1,M25-29,KEN,2:04:11
Sammy Kitwara (M27),2:04:28,2,2 / 2,M25-29,KEN,2:04:28
Dickson Chumba (M27),2:04:32,3,3 / 3,M25-29,KEN,2:04:32
Kenenisa Bekele (M32),2:05:51,4,4 / 1,M30-34,ETH,2:05:51
Bernard Koech (M26),2:08:30,5,5 / 1,M25-29,KEN,2:08:30
Ghirmay Ghebreslassie (M18),2:09:08,6,6 / 1,M16-19,ERI,2:04:09
Lani Rutto (M25),2:10:42,7,7 / 1,M25-29,KEN,2:10:42
Wesley Korir (M31),2:11:09,8,8 / 1,M30-34,KEN,2:11:09
Bobby Curtis (M29),2:11:20,9,9 / 1,M25-29,USA,2:11:20
Koji Kobayashi (M25),2:11:43,10,10 / 2,M25-29,"Ota, GUNMA, JPN",2:11:43
Jake Riley (M25),2:13:16,11,11 / 3,M25-29,USA,2:13:16
Gabe Proctor (M24),2:13:45,12,12 / 1,M20-24,USA,2:13:45
Christo Landry (M28),2:14:30,13,13 / 1,M25-29,USA,2:14:30
Tim Young (M27),2:14:40,14,14 / 2,M25-29,USA,2:14:40
Mike Morgan (M34),2:14:42,15,15 / 1,M30-34,USA,2:14:42
Naoki Okamoto (M30),2:15:19,16,16 / 2,M30-34,"Hiroshima, HIROSHIMA, JPN",2:15:19
Satoru Sasaki (M28),2:15:25,17,17 / 1,M25-29,"Nobeoka, MIYAZAKI, JPN",2:15:25
Ryosuke Fukuyama (M34),2:15:33,18,18 / 1,M30-34,"Sayama, SAITAMA, JPN",2:15:33
Craig Leon (M29),2:16:00,19,19 / 1,M25-29,USA,2:16:00
Carlos Trujillo (M29),2:16:49,20,20 / 2,M25-29,"Middleton, ID, USA",2:16:49
Rui Yonezawa (M26),2:17:30,21,21 / 3,M25-29,"Hiroshima, HIROSHIMA, JPN",2:17:30
Jason Witt (M24),2:17:31,22,22 / 1,M20-24,"Provo, UT, USA",2:17:31
John Dewitt (M23),2:17:38,23,23 / 2,M20-24,"Milwaukee, WI, USA",2:17:38
Matthew Llano (M26),2:17:43,24,24 / 1,M25-29,USA,2:17:43
Patrick Rizzo (M31),2:18:04,25,25 / 1,M30-34,USA,2:18:04
Jesse Davis (M32),2:18:13,26,26 / 2,M30-34,"Indianapolis, IN, USA",2:18:13
Luke Humphrey (M33),2:18:19,27,27 / 3,M30-34,USA,2:18:19
Brendan Gregg (M25),2:18:30,28,28 / 1,M25-29,USA,2:18:30
Jed Christiansen (M27),2:18:55,29,29 / 2,M25-29,"Greenville, PA, USA",2:18:55
Thomas Frazer (M33),2:19:53,30,30 / 1,M30-34,"Indianapolis, IN, USA",2:19:53
Matthew Blume (M33),2:20:28,31,31 / 2,M30-34,"Chicago, IL, USA",2:20:28
Jameson Mora (M30),2:20:38,32,32 / 3,M30-34,"Paso Robles, CA, USA",2:20:38
Matt Hensley (M26),2:20:53,33,33 / 1,M25-29,"Boulder, CO, USA",2:20:53
Tim Chichester (M26),2:21:03,34,34 / 2,M25-29,"Mount Morris, NY, USA",2:21:03
Jake Krong (M30),2:21:12,35,35 / 1,M30-34,"Salt Lake City, UT, USA",2:21:12
Dan Kremske (M25),2:21:17,36,36 / 1,M25-29,"Woodstock, IL, USA",2:21:17
Mario Macias (M32),2:22:47,37,37 / 1,M30-34,"Boulder, CO, USA",2:22:47
Andrew Weaver (M24),2:22:50,38,38 / 1,M20-24,"Newark, DE, USA",2:22:50
Matt Barrett (M28),2:23:09,39,39 / 1,M25-29,"Madison, WI, USA",2:23:09
Russell Dessaix-Chin (M36),2:23:12,40,40 / 1,M35-39,"North Wollongong, NSW, AUS",2:23:03
Ryan Johns (M27),2:23:36,41,41 / 1,M25-29,"New York, NY, USA",2:23:36
Matthew Marol (M23),2:23:51,42,42 / 1,M20-24,"Evanston, IL, USA",2:23:51
Evan Zdroik (M28),2:24:03,43,43 / 1,M25-29,"Watertown, WI, USA",2:24:03
Rita Jeptoo (F33),2:24:35,44,1 / 1,F30-34,KEN,2:23:40
Brian Finnel (M27),2:24:39,45,44 / 1,M25-29,"Madison, WI, USA",2:24:39
Madison Roeder (M25),2:24:55,46,45 / 2,M25-29,"Indianapolis, IN, USA",2:24:55
Daniel Glaz (M31),2:25:17,47,46 / 1,M30-34,"Chicago, IL, USA",2:25:17
Joseph Carpenter (M25),2:25:20,48,47 / 1,M25-29,"Cambridge, MA, USA",2:25:20
Austin Hendrix (M25),2:25:26,49,48 / 2,M25-29,"Chicago, IL, USA",2:25:26
Leonardo Tenepaguay (M28),2:25:34,50,49 / 3,M25-29,ECU,2:25:34
Mare Dibaba (F24),2:25:37,51,2 / 1,F20-24,ETH,2:25:37
Jeff Jonaitis (M33),2:25:39,52,50 / 1,M30-34,"Tinley Park, IL, USA",2:25:39
Nobuaki Takata (M37),2:25:39,53,51 / 1,M35-39,"Nishiyodogawa-Ku, OSAKA, JPN",2:25:04
Florence Kiplagat (F27),2:25:57,54,3 / 1,F25-29,KEN,2:25:57
Chris Fyock (M25),2:26:05,55,52 / 1,M25-29,"Parma, OH, USA",2:26:05
Simon Kosgei (M24),2:26:08,56,53 / 1,M20-24,KEN,2:26:08
Richard Rotut Kipkalum (M27),2:26:09,57,54 / 1,M25-29,KEN,2:26:09
Charlie Paul (M25),2:26:13,58,55 / 2,M25-29,"Iowa City, IA, USA",2:26:13
Jonathan Dewitt (M24),2:26:35,59,56 / 1,M20-24,"Akron, OH, USA",2:26:35
Ryan Kienzle (M28),2:26:38,60,57 / 1,M25-29,"Canton, OH, USA",2:26:38
Gregory Mariano (M29),2:26:48,61,58 / 2,M25-29,"Alexandria, VA, USA",2:26:48
Birhane Dibaba (F21),2:27:02,62,4 / 1,F20-24,ETH,2:27:02
Amy Hastings (F30),2:27:03,63,5 / 1,F30-34,USA,2:26:59
Joe Moore (M30),2:27:05,64,59 / 1,M30-34,USA,2:27:05
Conrad Laskowski (M28),2:27:14,65,60 / 1,M25-29,"Bethesda, MD, USA",2:27:14
Neil Pearson (M42),2:27:25,66,61 / 1,M40-44,"Rozelle, NSW, GBR",2:21:30
Jonnatan Morales (M34),2:27:30,67,62 / 1,M30-34,"Calimaya, MEXICO, MEX",2:27:30
Matt Suda (M28),2:27:45,68,63 / 1,M25-29,"London, ON, CAN",2:27:45
Aaron Davidson (M30),2:27:57,69,64 / 1,M30-34,"Lenexa, KS, USA",2:27:57
Eric Wallor (M31),2:28:04,70,65 / 2,M30-34,"Palatine, IL, USA",2:28:04
Jeremy Van Veen (M35),2:28:30,71,66 / 1,M35-39,"Aberdeen, SD, USA",2:28:30
Emisael Favela (M37),2:28:47,72,67 / 2,M35-39,"Berwyn, IL, USA",2:28:11
Matt McCurdy (M37),2:28:59,73,68 / 3,M35-39,"Marshfield, WI, USA",2:28:23
Jose Munoz (M29),2:29:06,74,69 / 1,M25-29,"San Antonio, TX, USA",2:29:06
Michael Capriolo (M30),2:29:21,75,70 / 1,M30-34,"Cleveland, OH, USA",2:29:21
Jeffrey Denny (M22),2:29:27,76,71 / 1,M20-24,"Cincinnati, OH, USA",2:29:22
Bayron Piedra Aviles (M32),2:29:29,77,72 / 1,M30-34,ECU,2:29:29
Richard Williams (M27),2:29:29,78,73 / 1,M25-29,"Somerville, MA, USA",2:29:29
Mickey Wilson (M30),2:29:35,79,74 / 1,M30-34,"Heber City, UT, USA",2:29:35
Jacques-Sylvain Lecointre (M30),2:29:37,80,75 / 2,M30-34,"Montreal, QC, FRA",2:29:37
Phil Young (M28),2:29:45,81,76 / 1,M25-29,"North Liberty, IA, USA",2:29:45
Chip Ohara (M33),2:29:52,82,77 / 1,M30-34,"Auburn, NY, USA",2:29:52
Andrew Duncan (M47),2:29:53,83,78 / 1,M45-49,"Las Vegas, NV, USA",2:17:51
Curtis Weisenberger (M25),2:30:17,84,79 / 1,M25-29,"Mchenry, IL, USA",2:30:17
Nicholas Caprario (M25),2:30:21,85,80 / 2,M25-29,"Kansas City, KS, USA",2:30:21
James Akita (M34),2:30:36,86,81 / 1,M30-34,"Elmhurst, IL, USA",2:30:36
Matthew Braithwaite (M26),2:30:41,87,82 / 1,M25-29,"Iowa City, IA, USA",2:30:41
Hunter Paris (M30),2:30:50,88,83 / 1,M30-34,"Fort Wayne, IN, USA",2:30:50
Peiquan You (M28),2:30:55,89,84 / 1,M25-29,"Jianou, FUJIAN, CHN",2:30:55
William Prom (M29),2:31:12,90,85 / 2,M25-29,"Irvine, CA, USA",2:31:12
Justin Henry (M31),2:31:18,91,86 / 1,M30-34,"Lafayette, CO, USA",2:31:18
Jacob Benton (M22),2:31:25,92,87 / 1,M20-24,"Webb City, MO, USA",2:31:20
Daniel Pinter (M28),2:31:28,93,88 / 1,M25-29,"New York, NY, USA",2:31:28
Kevin Oliver (M23),2:31:55,94,89 / 1,M20-24,"Tualatin, OR, USA",2:31:55
Mike Roth (M26),2:31:57,95,90 / 1,M25-29,"Detroit, MI, USA",2:31:57
Matthew Chorney (M26),2:31:58,96,91 / 2,M25-29,"Jackson, WY, USA",2:31:58
Nathan Troester (M24),2:31:59,97,92 / 1,M20-24,"Mokena, IL, USA",2:31:59
Brian Denny (M25),2:32:06,98,93 / 1,M25-29,"Cincinnati, OH, USA",2:32:06
Ankur Tarneja (M32),2:32:11,99,94 / 1,M30-34,"Los Angeles, CA, USA",2:32:11
Steve Soprano (M27),2:32:12,100,95 / 1,M25-29,"Queensbury, NY, USA",2:32:12
