"Last Name, First Name",OverAll,Sex Place,DIV,Net Time,Country
Lawrence Cherono (M),1,1 / 1,M30-34,2:05:45,KEN
Dejene Debela (M),2,2 / 1,M20-24,2:05:46,ETH
Asefa Mengstu (M),3,3 / 2,M30-34,2:05:48,ETH
Bedan Karoki (M),4,4 / 1,M25-29,2:05:53,KEN
Bashir Abdi (M),5,5 / 3,M30-34,2:06:14,BEL
Seifu Tura (M),6,6 / 2,M20-24,2:08:35,ETH
Dickson Chumba (M),7,7 / 4,M30-34,2:09:11,KEN
Mo Farah (M),8,8 / 1,M35-39,2:09:58,GBR
Jacob Riley (M),9,9 / 5,M30-34,2:10:36,USA
Jerrell Mock (M),10,10 / 3,M20-24,2:10:37,USA
Parker Stinson (M),11,11 / 2,M25-29,2:10:53,USA
Andrew Bumbalough (M),12,12 / 6,M30-34,2:10:56,USA
Minato Oishi (M),13,13 / 7,M30-34,2:11:02,JPN
Matthew Mcdonald (M),14,14 / 3,M25-29,2:11:10,USA
Scott Smith (M),15,15 / 4,M20-24,2:11:14,USA
Brendan Gregg (M),16,16 / 8,M30-34,2:11:38,USA
Noah Droddy (M),17,17 / 4,M25-29,2:11:42,USA
Wilkerson Given (M),18,18 / 5,M25-29,2:11:44,USA
Diego Estrada (M),19,19 / 6,M25-29,2:11:54,USA
Tsubasa Hayakawa (M),20,20 / 7,M25-29,2:12:25,JPN
Ryoma Takeuchi (M),21,21 / 8,M25-29,2:12:26,JPN
Brian Shrader (M),22,22 / 9,M25-29,2:13:27,USA
Brigid Kosgei (F),23,1 / 1,F25-29,2:14:04,KEN
Alex Monroe (M),24,23 / 10,M25-29,2:14:15,USA
Colin Mickow (M),25,24 / 11,M25-29,2:14:52,USA
Daniel Kremske (M),26,25 / 9,M30-34,2:14:53,USA
Willie Milam (M),27,26 / 12,M25-29,2:14:54,USA
Alan Peterson (M),28,27 / 13,M25-29,2:14:56,USA
Bijan Mazaheri (M),29,28 / 14,M25-29,2:15:26,USA
Kevin Havel (M),30,29 / 15,M25-29,2:15:35,USA
Daniel Lennon (M),31,30 / 16,M25-29,2:16:08,USA
Alvaro Sanabria-Diaz (M),32,31 / 17,M25-29,2:16:29,CRC
Daniel Ortiz Perez (M),33,32 / 2,M35-39,2:16:47,MEX
Turner Wiley (M),34,33 / 18,M25-29,2:16:57,USA
Conner Peloquin (M),35,34 / 19,M25-29,2:16:59,USA
Ryan Root (M),36,35 / 20,M25-29,2:17:00,USA
Matthew Herzig (M),37,36 / 5,M20-24,2:17:01,USA
Jackson Neff (M),38,37 / 21,M25-29,2:17:21,USA
Will Cross (M),39,38 / 22,M25-29,2:17:33,USA
Kevin Hansen (M),40,39 / 3,M35-39,2:18:22,USA
Christopher May (M),41,40 / 6,M20-24,2:18:32,USA
Oscar Medina (M),42,41 / 23,M25-29,2:18:42,MEX
Patrick Campbell (M),43,42 / 7,M20-24,2:18:48,USA
Brett Lustgarten (M),44,43 / 24,M25-29,2:19:00,USA
Ryan Smith (M),45,44 / 8,M20-24,2:19:20,USA
Noah Gade (M),46,45 / 9,M20-24,2:19:48,USA
Eric Bang (M),47,46 / 25,M25-29,2:19:56,CAN
Michael Eaton (M),48,47 / 10,M30-34,2:19:58,USA
Jason Thomas (M),49,48 / 26,M25-29,2:20:26,USA
Daniel Nally (M),50,49 / 11,M30-34,2:20:37,USA
Ababel Yeshaneh (F),51,2 / 2,F25-29,2:20:51,ETH
