"Last Name, First Name",Time,OverAll,Sex Place,DIV,"City, State, Country",AG Time*
Abel Kirui (M34),2:11:23,1,1 / 1,M30-34,,2:11:23
Dickson Chumba (M29),2:11:26,2,2 / 1,M25-29,,2:11:26
Gideon Kipketer (M23),2:12:20,3,3 / 1,M20-24,,2:12:20
Paul Lonyangata (M24),2:13:17,4,4 / 2,M20-24,,2:13:17
Stephen Sambu (M28),2:13:35,5,5 / 2,M25-29,,2:13:35
Abayneh Ayele (M28),2:13:52,6,6 / 3,M25-29,,2:13:52
Takuya Fukatsu (M28),2:13:53,7,7 / 4,M25-29,,2:13:53
Diego Estrada (M26),2:13:56,8,8 / 5,M25-29,"Flagstaff, AZ, USA",2:13:56
Koji Gokaya (M28),2:14:34,9,9 / 6,M25-29,,2:14:34
Elkanah Kibet (M30),2:16:37,10,10 / 2,M30-34,"Fountain, CO, USA",2:16:37
Tim Young (M29),2:16:43,11,11 / 7,M25-29,"Fredericksburg, VA, USA",2:16:43
Andrew Epperson (M25),2:16:54,12,12 / 8,M25-29,"Golden, CO, USA",2:16:54
Scott Overall (M33),2:18:21,13,13 / 3,M30-34,,2:18:21
Ryoichi Matsuo (M25),2:18:50,14,14 / 9,M25-29,,2:18:50
Tony Migliozzi (M27),2:19:39,15,15 / 10,M25-29,"North Canton, OH, USA",2:19:39
Tom Anderson (M26),2:19:52,16,16 / 11,M25-29,,2:19:52
Daniel Wallis (M28),2:19:56,17,17 / 12,M25-29,,2:19:56
Micah Kogo (M30),2:20:03,18,18 / 4,M30-34,,2:20:03
Luke Puskedra (M26),2:20:18,19,19 / 13,M25-29,"Eugene, OR, USA",2:20:18
Jonathan Mott (M29),2:20:22,20,20 / 14,M25-29,"Babson Park, FL, USA",2:20:22
David Nilsson (M29),2:20:25,21,21 / 15,M25-29,,2:20:25
Meng-Tsung Chu (M34),2:21:02,22,22 / 5,M30-34,"Colorado Springs, CO, USA",2:21:02
Florence Kiplagat (F29),2:21:32,23,1 / 1,F25-29,,2:21:32
Kiya Dandena (M27),2:22:14,24,23 / 16,M25-29,"Flagstaff, AZ, USA",2:22:14
Mizael Carrera (M25),2:22:25,25,24 / 17,M25-29,"Chicago, IL, USA",2:22:25
Kazuya Ishida (M32),2:23:02,26,25 / 6,M30-34,,2:23:02
Connor Mcmillan (M20),2:23:28,27,26 / 3,M20-24,"Provo, UT, USA",2:21:40
