Year,Country,Gender,Age,Time,Seconds
2014,,M,30.0,02:22:18,8538.0
2014,,M,35.0,02:22:49,8569.0
2014,,M,30.0,02:23:02,8582.0
2014,,M,20.0,02:23:33,8613.0
2014,,M,40.0,02:24:04,8644.0
2014,,M,35.0,02:24:39,8679.0
2014,,M,30.0,02:25:14,8714.0
2014,,M,40.0,02:25:14,8714.0
2014,,M,40.0,02:25:25,8725.0
2014,,M,20.0,02:25:59,8759.0
2014,,M,30.0,02:26:06,8766.0
2014,,M,30.0,02:26:15,8775.0
2014,,M,20.0,02:26:22,8782.0
2014,,M,30.0,02:26:25,8785.0
2014,,M,40.0,02:26:31,8791.0
2014,,M,35.0,02:26:32,8792.0
2014,,M,40.0,02:26:39,8799.0
2014,,M,35.0,02:26:41,8801.0
2014,,M,20.0,02:26:42,8802.0
2014,,M,20.0,02:26:44,8804.0
2014,,M,35.0,02:27:03,8823.0
2014,,M,45.0,02:27:24,8844.0
2014,,M,30.0,02:27:33,8853.0
2014,,M,35.0,02:28:03,8883.0
2014,,M,40.0,02:28:06,8886.0
2014,,M,30.0,02:28:07,8887.0
2014,,M,40.0,02:28:18,8898.0
2014,,M,30.0,02:28:21,8901.0
2014,,M,35.0,02:28:34,8914.0
2014,,M,20.0,02:29:11,8951.0
2014,,M,30.0,02:29:20,8960.0
2014,,M,30.0,02:29:33,8973.0
2014,,M,35.0,02:29:38,8978.0
2014,,M,35.0,02:30:14,9014.0
2014,,M,30.0,02:30:28,9028.0
2014,,M,35.0,02:30:34,9034.0
2014,,M,35.0,02:30:36,9036.0
2014,,M,20.0,02:30:48,9048.0
2014,,M,35.0,02:30:53,9053.0
2014,,M,20.0,02:31:02,9062.0
2014,,M,40.0,02:31:06,9066.0
2014,,M,45.0,02:31:09,9069.0
2014,,M,30.0,02:31:14,9074.0
2014,,M,30.0,02:31:14,9074.0
2014,,M,40.0,02:31:29,9089.0
2014,,M,40.0,02:31:29,9089.0
2014,,M,35.0,02:31:36,9096.0
2014,,M,30.0,02:31:37,9097.0
2014,,M,30.0,02:31:41,9101.0
2014,,M,40.0,02:31:41,9101.0
2014,,M,35.0,02:31:47,9107.0
2014,,M,35.0,02:31:50,9110.0
2014,,M,30.0,02:31:52,9112.0
2014,,M,40.0,02:31:54,9114.0
2014,,M,20.0,02:31:59,9119.0
2014,,M,30.0,02:32:03,9123.0
2014,,M,30.0,02:32:15,9135.0
2014,,M,30.0,02:32:33,9153.0
2014,,M,45.0,02:32:38,9158.0
2014,,M,20.0,02:32:43,9163.0
2014,,M,30.0,02:32:44,9164.0
2014,,M,30.0,02:32:45,9165.0
2014,,M,30.0,02:32:49,9169.0
2014,,M,20.0,02:32:57,9177.0
2014,,M,35.0,02:33:02,9182.0
2014,,M,45.0,02:33:10,9190.0
2014,,M,40.0,02:33:23,9203.0
2014,,M,35.0,02:33:27,9207.0
2014,,M,30.0,02:33:32,9212.0
2014,,M,45.0,02:33:33,9213.0
2014,,M,20.0,02:33:55,9235.0
2014,,M,35.0,02:33:56,9236.0
2015,,M,30.0,02:04:00,7440.0
2015,,M,20.0,02:05:21,7521.0
2015,,M,20.0,02:06:57,7617.0
2015,,M,30.0,02:07:46,7666.0
2015,,M,30.0,02:09:29,7769.0
2015,,M,35.0,02:10:28,7828.0
2015,,M,20.0,02:10:31,7831.0
2015,,M,30.0,02:10:47,7847.0
2015,,M,20.0,02:11:54,7914.0
2015,,M,20.0,02:12:28,7948.0
2015,,M,20.0,02:12:32,7952.0
2015,,M,30.0,02:12:49,7969.0
2015,,M,20.0,02:12:50,7970.0
2015,,M,20.0,02:12:51,7971.0
2015,,M,20.0,02:13:57,8037.0
2015,,M,30.0,02:13:57,8037.0
2015,,M,35.0,02:14:51,8091.0
2015,,M,20.0,02:14:52,8092.0
2015,,M,30.0,02:14:52,8092.0
2015,,M,20.0,02:15:08,8108.0
2015,,M,20.0,02:15:14,8114.0
2015,,M,20.0,02:15:29,8129.0
2015,,M,35.0,02:15:30,8130.0
2015,,M,40.0,02:15:30,8130.0
2015,,M,20.0,02:15:34,8134.0
2015,,M,20.0,02:15:35,8135.0
2015,,M,20.0,02:15:38,8138.0
