Last Name,First Name,Division,Country,BIB,Overall Place,Time,seconds,Year,Gender,marathon
Norton,Joseph,30-34,USA,387,300,02:48:18,10098.0,2017,M,Chicago
Farah,Mo,35-39,GBR,8,1,02:05:11,7511.0,2018,M,Chicago
Bayih,Mosinet Geremew,25-29,ETH,4,2,02:05:24,7524.0,2018,M,Chicago
Osako,Suguru,25-29,JPN,10,3,02:05:50,7550.0,2018,M,Chicago
Kipkemoi,Kenneth,30-34,KEN,7,4,02:05:57,7557.0,2018,M,Chicago
Rupp,Galen,30-34,USA,1,5,02:06:21,7581.0,2018,M,Chicago
Kirui,Geoffrey,25-29,KEN,9,6,02:06:45,7605.0,2018,M,Chicago
Kirui,Abel,35-39,KEN,2,7,02:07:52,7672.0,2018,M,Chicago
Fujimoto,Taku,25-29,JPN,26,8,02:07:57,7677.0,2018,M,Chicago
Karoki,Bedan,25-29,KEN,11,9,02:07:59,7679.0,2018,M,Chicago
Legese,Birhanu,20-24,ETH,5,10,02:08:41,7721.0,2018,M,Chicago
El Aaraby,Mohamed Reda,25-29,MAR,14,11,02:09:16,7756.0,2018,M,Chicago
Suzuki,Yohei,20-24,JPN,25,12,02:12:18,7938.0,2018,M,Chicago
Kibet,Elkanah,35-39,USA,17,13,02:12:35,7955.0,2018,M,Chicago
Braun,Aaron,30-34,USA,20,14,02:13:16,7996.0,2018,M,Chicago
Hampton,Jonas,25-29,USA,28,15,02:14:19,8059.0,2018,M,Chicago
Stinson,Parker,25-29,USA,33,16,02:14:29,8069.0,2018,M,Chicago
Osman,Ahmed,30-34,USA,41,17,02:14:40,8080.0,2018,M,Chicago
Kipyego,Bernard,30-34,KEN,3,18,02:16:12,8172.0,2018,M,Chicago
Kawauchi,Yuki,30-34,JPN,13,19,02:16:26,8186.0,2018,M,Chicago
McCandless,Tyler,30-34,USA,19,20,02:16:37,8197.0,2018,M,Chicago
Edwards,Reece,25-29,AUS,433,21,02:16:43,8203.0,2018,M,Chicago
Epperson,Andrew,25-29,USA,30,22,02:17:01,8221.0,2018,M,Chicago
Peterson,Alan,25-29,USA,34,23,02:17:15,8235.0,2018,M,Chicago
Kosgei,Brigid,20-24,KEN,103,24,02:18:35,8315.0,2018,F,Chicago
Ndhlovu,Pardon,30-34,ZIM,29,25,02:18:49,8329.0,2018,M,Chicago
Wyatt,Kyle,35-39,USA,648,26,02:18:55,8335.0,2018,M,Chicago
Lustgarten,Brett,25-29,USA,523,27,02:18:59,8339.0,2018,M,Chicago
Bang,Eric,25-29,CAN,367,28,02:19:03,8343.0,2018,M,Chicago
Criniti,David,40-44,AUS,415,29,02:20:10,8410.0,2018,M,Chicago
Williams,Hugh,25-29,AUS,40,30,02:20:29,8429.0,2018,M,Chicago
Dandena,Kiya,25-29,USA,21,31,02:20:58,8458.0,2018,M,Chicago
Fletcher,Ben,30-34,USA,442,32,02:21:01,8461.0,2018,M,Chicago
Peters,Nathan,25-29,USA,572,33,02:21:02,8462.0,2018,M,Chicago
Johnson,Jeremy,20-24,USA,483,34,02:21:10,8470.0,2018,M,Chicago
Crain,Johnny,25-29,USA,27,35,02:21:15,8475.0,2018,M,Chicago
Dereje,Roza,20-24,ETH,104,36,02:21:18,8478.0,2018,F,Chicago
Landes,Evan,25-29,USA,510,37,02:21:32,8492.0,2018,M,Chicago
Saavedra de leon,Roberto,30-34,MEX,1146,38,02:21:32,8492.0,2018,M,Chicago
Kremske,Dan,25-29,USA,660,39,02:22:00,8520.0,2018,M,Chicago
Demise,Shure,20-24,ETH,107,40,02:22:15,8535.0,2018,F,Chicago
McLeod,Jason,25-29,USA,667,41,02:22:22,8542.0,2018,M,Chicago
Root,Ryan,25-29,USA,37,42,02:22:42,8562.0,2018,M,Chicago
Salukombo,Makorobondo,30-34,USA,593,43,02:23:07,8587.0,2018,M,Chicago
Medina,Oscar,25-29,USA,543,44,02:23:14,8594.0,2018,M,Chicago
Neff,Jackson,25-29,USA,557,45,02:23:28,8608.0,2018,M,Chicago
Lenehan,Matt,25-29,USA,515,46,02:23:55,8635.0,2018,M,Chicago
Bohach,Adam,30-34,USA,390,47,02:23:56,8636.0,2018,M,Chicago
Dewitt,John,25-29,USA,423,48,02:24:15,8655.0,2018,M,Chicago
Rand,Matt,25-29,USA,582,49,02:24:20,8660.0,2018,M,Chicago
Havel,Kevin,25-29,USA,463,50,02:24:40,8680.0,2018,M,Chicago
Mccormack,Raymond,25-29,USA,661,51,02:24:52,8692.0,2018,M,Chicago
VanGampleare,Stephen,25-29,USA,636,52,02:25:18,8718.0,2018,M,Chicago
Chentouf,El Amin,35-39,MAR,401,53,02:25:30,8730.0,2018,M,Chicago
Birch,Patrick,30-34,CAN,3049,54,02:25:37,8737.0,2018,M,Chicago
Piper,Paul,35-39,GBR,576,55,02:25:47,8747.0,2018,M,Chicago
Ross,Nick,25-29,USA,589,56,02:26:01,8761.0,2018,M,Chicago
Kiplagat,Florence,30-34,KEN,105,57,02:26:08,8768.0,2018,F,Chicago
Hisamoto,Shunsuke,25-29,JPN,471,58,02:26:16,8776.0,2018,M,Chicago
Kruger,Matthew,30-34,USA,504,59,02:26:29,8789.0,2018,M,Chicago
Rizzo,Patrick,35-39,USA,22,60,02:26:29,8789.0,2018,M,Chicago
Craven,Jeremy,20-24,USA,414,61,02:26:43,8803.0,2018,M,Chicago
Piedra,Bayron,35-39,ECU,24,62,02:26:56,8816.0,2018,M,Chicago
Mulder,Edward,25-29,USA,552,63,02:27:06,8826.0,2018,M,Chicago
Hillyard,Matthew,30-34,USA,469,64,02:27:12,8832.0,2018,M,Chicago
Lawder,Matthew,25-29,USA,514,65,02:27:18,8838.0,2018,M,Chicago
Donohue,Sean,25-29,USA,424,66,02:27:23,8843.0,2018,M,Chicago
Greig,Kyle,30-34,GBR,457,67,02:27:27,8847.0,2018,M,Chicago
Hoagland,Zachary,25-29,USA,472,68,02:27:38,8858.0,2018,M,Chicago
Woodle,Brent,30-34,USA,646,69,02:28:00,8880.0,2018,M,Chicago
Corby,Ryan,35-39,USA,2028,70,02:28:01,8881.0,2018,M,Chicago
Archer,Ryan,20-24,USA,358,71,02:28:12,8892.0,2018,M,Chicago
Farkas,Matthew,25-29,USA,437,72,02:28:23,8903.0,2018,M,Chicago
Puetz,Joseph,25-29,USA,4083,73,02:28:29,8909.0,2018,M,Chicago
Kaehr,Andrew,25-29,USA,486,74,02:28:30,8910.0,2018,M,Chicago
Rylaarsdam,Andrew,20-24,USA,592,75,02:28:30,8910.0,2018,M,Chicago
Khan,Kallin,20-24,USA,490,76,02:28:39,8919.0,2018,M,Chicago
Hutson,Greg,30-34,USA,477,77,02:28:52,8932.0,2018,M,Chicago
Schout,Luc,30-34,NED,598,78,02:28:55,8935.0,2018,M,Chicago
Haynes,Stuart,40-44,GBR,464,79,02:28:58,8938.0,2018,M,Chicago
McGrath,Colin,30-34,USA,540,80,02:29:11,8951.0,2018,M,Chicago
Morlan,Bruno,25-29,MEX,551,81,02:29:13,8953.0,2018,M,Chicago
Benadum,Blue,35-39,USA,7052,82,02:29:16,8956.0,2018,M,Chicago
Welch,Nick,30-34,USA,643,83,02:29:20,8960.0,2018,M,Chicago
Wing,David,25-29,USA,645,84,02:29:28,8968.0,2018,M,Chicago
Muñoz Garcia,Javier,30-34,ESP,554,85,02:29:31,8971.0,2018,M,Chicago
DeSabato,Anthony,25-29,USA,2200,86,02:29:33,8973.0,2018,M,Chicago
Leuchanka,Aliaksandr,25-29,USA,517,87,02:29:37,8977.0,2018,M,Chicago
Bailey,Michael,35-39,USA,4240,88,02:29:39,8979.0,2018,M,Chicago
Sanford,Alexander,25-29,USA,594,89,02:29:39,8979.0,2018,M,Chicago
Alex,George,25-29,USA,36,90,02:29:47,8987.0,2018,M,Chicago
Lok,Ryan,25-29,USA,4079,91,02:29:52,8992.0,2018,M,Chicago
Sharp,John,40-44,GBR,603,92,02:30:01,9001.0,2018,M,Chicago
Dorazil,Rj,35-39,USA,425,93,02:30:02,9002.0,2018,M,Chicago
Weisenberger,Curtis,25-29,USA,641,94,02:30:08,9008.0,2018,M,Chicago
Heller,Michael,25-29,USA,2156,95,02:30:21,9021.0,2018,M,Chicago
Hendrix,Austin,25-29,USA,467,96,02:30:35,9035.0,2018,M,Chicago
Weickert,Matthew,25-29,USA,1037,97,02:30:35,9035.0,2018,M,Chicago
Grant,Jimmy,40-44,USA,453,98,02:30:36,9036.0,2018,M,Chicago
Vanos,William,45-49,USA,638,99,02:30:43,9043.0,2018,M,Chicago
Rondot,Antoine,30-34,FRA,588,100,02:30:48,9048.0,2018,M,Chicago
Agudelo,Manuel,30-34,COL,353,101,02:30:48,9048.0,2018,M,Chicago
Ini,Thierry,40-44,ITA,479,102,02:31:00,9060.0,2018,M,Chicago
Richards,Matthew,30-34,GBR,5178,103,02:31:20,9080.0,2018,M,Chicago
Nyaruai,Veronicah,25-29,KEN,123,104,02:31:34,9094.0,2018,F,Chicago
Jordan,Jeramey,30-34,USA,485,105,02:31:52,9112.0,2018,M,Chicago
Skurski,Joseph,25-29,USA,5202,106,02:31:54,9114.0,2018,M,Chicago
Sprague,Dustin,40-44,USA,615,107,02:31:55,9115.0,2018,M,Chicago
Martin,Brent,30-34,USA,535,108,02:32:00,9120.0,2018,M,Chicago
Pereira Da Silva Filho,Geraldo,35-39,BRA,6175,109,02:32:02,9122.0,2018,M,Chicago
Binzak,Johnny,25-29,USA,382,110,02:32:18,9138.0,2018,M,Chicago
Aghegnehu,Abinazer,30-34,USA,3082,111,02:32:22,9142.0,2018,M,Chicago
Schmidlechner,Grant,40-44,AUS,596,112,02:32:22,9142.0,2018,M,Chicago
Crouch,Sarah,25-29,USA,113,113,02:32:37,9157.0,2018,F,Chicago
Darda,Joseph,30-34,USA,420,114,02:32:37,9157.0,2018,M,Chicago
Ward,Taylor,25-29,USA,114,115,02:32:42,9162.0,2018,F,Chicago
Klucznik,Christopher,35-39,USA,1019,116,02:32:43,9163.0,2018,M,Chicago
Howell,Jason,35-39,USA,5184,117,02:32:50,9170.0,2018,M,Chicago
Croker,Nick,30-34,CAN,7073,118,02:33:05,9185.0,2018,M,Chicago
Ryf,Jason,45-49,USA,591,119,02:33:12,9192.0,2018,M,Chicago
Landau,Kate,40-44,USA,509,120,02:33:26,9206.0,2018,F,Chicago
Graham,William,20-24,USA,451,121,02:33:32,9212.0,2018,M,Chicago
Ferguson,Shawn,25-29,USA,439,122,02:33:38,9218.0,2018,M,Chicago
Olson,Phil,35-39,USA,563,123,02:33:39,9219.0,2018,M,Chicago
Carreira,Mario,50-54,POR,398,124,02:33:50,9230.0,2018,M,Chicago
Yitref,Gedion,25-29,USA,4018,125,02:33:53,9233.0,2018,M,Chicago
Myrand,Melanie,30-34,CAN,119,126,02:34:08,9248.0,2018,F,Chicago
Timmerman,Rob,25-29,CAN,4132,127,02:34:09,9249.0,2018,M,Chicago
Huwe,Kevin,30-34,USA,1110,128,02:34:10,9250.0,2018,M,Chicago
Lawyer,Nicholas,25-29,USA,3019,129,02:34:14,9254.0,2018,M,Chicago
Baum,Mitchell,20-24,USA,2274,130,02:34:16,9256.0,2018,M,Chicago
Smith,Mark,40-44,GBR,3102,131,02:34:21,9261.0,2018,M,Chicago
Guldan,Ryan,35-39,USA,5141,132,02:34:23,9263.0,2018,M,Chicago
Kliot,Gabriel,40-44,ISR,496,133,02:34:23,9263.0,2018,M,Chicago
Grauwin,Olivier,30-34,FRA,454,134,02:34:24,9264.0,2018,M,Chicago
Ries Jr.,Tommy,30-34,USA,21033,135,02:34:25,9265.0,2018,M,Chicago
Nielsen,Dan,25-29,USA,558,136,02:34:33,9273.0,2018,M,Chicago
Lucyk,Maciej,30-34,POL,4098,137,02:34:36,9276.0,2018,M,Chicago
Mullin,Christopher,20-24,USA,553,138,02:34:36,9276.0,2018,M,Chicago
Nolan,Killian,30-34,IRL,5164,139,02:34:38,9278.0,2018,M,Chicago
Reyes,Eric,35-39,MEX,583,140,02:34:42,9282.0,2018,M,Chicago
Hanson,Peter,35-39,USA,4233,141,02:34:48,9288.0,2018,M,Chicago
Klimek,Marci,30-34,USA,495,142,02:34:53,9293.0,2018,F,Chicago
Stauber,Daniel,30-34,GER,6025,143,02:34:57,9297.0,2018,M,Chicago
Tissue,Jeffrey,25-29,USA,3064,144,02:34:58,9298.0,2018,M,Chicago
Orndorf,Nathaniel,20-24,USA,564,145,02:34:59,9299.0,2018,M,Chicago
Reed,Erik,30-34,USA,2299,146,02:35:00,9300.0,2018,M,Chicago
Fakler,Mike,30-34,USA,3150,147,02:35:03,9303.0,2018,M,Chicago
Martinez,Juan,30-34,COL,6251,148,02:35:10,9310.0,2018,M,Chicago
Compton,Che,40-44,GBR,3297,149,02:35:23,9323.0,2018,M,Chicago
Kivett,Lewis,35-39,USA,5248,150,02:35:24,9324.0,2018,M,Chicago
Paquette,Thomas,25-29,USA,566,151,02:35:25,9325.0,2018,M,Chicago
Trostle,Isaac,25-29,USA,4055,152,02:35:28,9328.0,2018,M,Chicago
Goodfellow,Kenny,25-29,USA,450,153,02:35:31,9331.0,2018,M,Chicago
Butcher,John,25-29,USA,394,154,02:35:34,9334.0,2018,M,Chicago
Engtrakul,Chaiwat,40-44,USA,434,155,02:36:05,9365.0,2018,M,Chicago
Chewning-Kulick,Travis,20-24,USA,3170,156,02:36:10,9370.0,2018,M,Chicago
Corby,Rod,40-44,USA,3061,157,02:36:12,9372.0,2018,M,Chicago
Simard,Justin,30-34,USA,5080,158,02:36:15,9375.0,2018,M,Chicago
Morera Malcolm,Leonardo,25-29,CRC,7008,159,02:36:19,9379.0,2018,M,Chicago
Pavlik,Nathan,35-39,USA,4180,160,02:36:20,9380.0,2018,M,Chicago
Kann,Brent,30-34,USA,4296,161,02:36:23,9383.0,2018,M,Chicago
Jorgensen,Gwen,30-34,USA,121,162,02:36:23,9383.0,2018,F,Chicago
Burk,Bryan,25-29,USA,4014,163,02:36:31,9391.0,2018,M,Chicago
Bain,Ross,35-39,CAN,7069,164,02:36:34,9394.0,2018,M,Chicago
Cunningham,Cian,35-39,GBR,3089,165,02:36:38,9398.0,2018,M,Chicago
Hojnacki,Jeff,40-44,USA,1242,166,02:36:43,9403.0,2018,M,Chicago
Van Winkle,Eric,30-34,USA,4122,167,02:36:44,9404.0,2018,M,Chicago
Meehan,Brendan,25-29,USA,5046,168,02:36:51,9411.0,2018,M,Chicago
Anderson,Lindsey,30-34,USA,357,169,02:36:51,9411.0,2018,F,Chicago
Teigen,Sam,40-44,USA,625,170,02:36:53,9413.0,2018,M,Chicago
Griffin,Derek,30-34,IRL,3218,171,02:36:53,9413.0,2018,M,Chicago
Battoo,Christopher,30-34,TTO,3197,172,02:36:55,9415.0,2018,M,Chicago
Yorke,Brian,40-44,CAN,651,173,02:37:01,9421.0,2018,M,Chicago
Garcia,Miguel,25-29,USA,5104,174,02:37:16,9436.0,2018,M,Chicago
Montoya,Alvaro,35-39,CHI,7034,175,02:37:19,9439.0,2018,M,Chicago
Souder,Dylan,25-29,USA,614,176,02:37:43,9463.0,2018,M,Chicago
Camara,Cesar,35-39,MEX,3294,177,02:37:44,9464.0,2018,M,Chicago
Sprague,Kenneth,20-24,USA,3038,178,02:37:51,9471.0,2018,M,Chicago
Shemyakin,Mikhail,35-39,USA,3230,179,02:37:56,9476.0,2018,M,Chicago
Coffin,Wade,25-29,USA,2283,180,02:37:56,9476.0,2018,M,Chicago
Wurzbacher,Michael,25-29,USA,5237,181,02:37:58,9478.0,2018,M,Chicago
Reilly,Jason,35-39,USA,5133,182,02:38:00,9480.0,2018,M,Chicago
Seelbach,Eric,30-34,USA,5024,183,02:38:03,9483.0,2018,M,Chicago
Marino,Amanda,25-29,USA,530,184,02:38:04,9484.0,2018,F,Chicago
Chernikoff,Facundo,30-34,CAN,5240,185,02:38:04,9484.0,2018,M,Chicago
Cabel,Matthew,20-24,USA,4012,186,02:38:08,9488.0,2018,M,Chicago
Matthews,Katie,25-29,USA,117,187,02:38:16,9496.0,2018,F,Chicago
Morgan,Morgan,25-29,USA,4061,188,02:38:21,9501.0,2018,M,Chicago
Thompson,Nicholas,40-44,USA,7065,189,02:38:23,9503.0,2018,M,Chicago
Krystek,Daniel,25-29,USA,506,190,02:38:25,9505.0,2018,M,Chicago
Kilgore,David,25-29,USA,492,191,02:38:30,9510.0,2018,M,Chicago
Cifuentes,Miguel Angel,40-44,COL,6295,192,02:38:37,9517.0,2018,M,Chicago
Setlack,Matt,30-34,CAN,601,193,02:38:40,9520.0,2018,M,Chicago
Frantz,Tom,25-29,USA,5162,194,02:38:41,9521.0,2018,M,Chicago
Fedden,Lee,35-39,GBR,4137,195,02:38:48,9528.0,2018,M,Chicago
Doucet,Shelley,35-39,CAN,426,196,02:38:49,9529.0,2018,F,Chicago
Williams,Mike,25-29,USA,5003,197,02:38:49,9529.0,2018,M,Chicago
Walsh,Billy,30-34,IRL,7043,198,02:38:49,9529.0,2018,M,Chicago
Wright,Kevin,25-29,USA,4187,199,02:38:54,9534.0,2018,M,Chicago
Turner,Wesley,30-34,USA,633,200,02:38:56,9536.0,2018,M,Chicago
Papa,Ronald,30-34,USA,3073,201,02:38:57,9537.0,2018,M,Chicago
Scott,Thomas,25-29,USA,3210,202,02:39:02,9542.0,2018,M,Chicago
Mack,Jeanne,25-29,USA,528,203,02:39:04,9544.0,2018,F,Chicago
Smith,Zachary,30-34,USA,3192,204,02:39:09,9549.0,2018,M,Chicago
Junior,Neilton,35-39,BRA,6176,205,02:39:10,9550.0,2018,M,Chicago
Schneider,Alyssa,25-29,USA,597,206,02:39:11,9551.0,2018,F,Chicago
Marriott,Richard,35-39,GBR,5057,207,02:39:11,9551.0,2018,M,Chicago
Koppenheffer,Matt,35-39,USA,4081,208,02:39:23,9563.0,2018,M,Chicago
Garey,Rick,45-49,USA,4090,209,02:39:24,9564.0,2018,M,Chicago
Dzhgarkava,Georgy,30-34,RUS,6074,210,02:39:26,9566.0,2018,M,Chicago
Wiegand,Robert,40-44,USA,4184,211,02:39:28,9568.0,2018,M,Chicago
Valcke,Tomas,40-44,BEL,1129,212,02:39:29,9569.0,2018,M,Chicago
Tomlin,Bridger,20-24,USA,4209,213,02:39:35,9575.0,2018,M,Chicago
Kozlov,Kirill,25-29,RUS,3037,214,02:39:37,9577.0,2018,M,Chicago
Roeder,Adam,20-24,USA,1248,215,02:39:40,9580.0,2018,M,Chicago
Estrada,Joshua,25-29,USA,7093,216,02:39:42,9582.0,2018,M,Chicago
Mukhin,Anatoly,30-34,RUS,8786,217,02:39:42,9582.0,2018,M,Chicago
Ardrey,Deanna,35-39,USA,359,218,02:39:44,9584.0,2018,F,Chicago
Dawes,Chris,45-49,USA,5183,219,02:39:45,9585.0,2018,M,Chicago
Corona Iturriaga,Roberto,35-39,MEX,6280,220,02:39:46,9586.0,2018,M,Chicago
Boelens,Matthew,20-24,USA,2151,221,02:39:47,9587.0,2018,M,Chicago
Ostornol,Fernando,45-49,CHI,7011,222,02:39:52,9592.0,2018,M,Chicago
Gilbert,Mitch,25-29,USA,3085,223,02:39:55,9595.0,2018,M,Chicago
Schmitt,Charles,25-29,USA,5092,224,02:39:57,9597.0,2018,M,Chicago
Paredes,Sergio,20-24,MEX,6266,225,02:40:01,9601.0,2018,M,Chicago
Rørdam,David,30-34,DEN,6139,226,02:40:02,9602.0,2018,M,Chicago
Berube,Derek,35-39,USA,1100,227,02:40:03,9603.0,2018,M,Chicago
Gustafson,Kate,30-34,CAN,459,228,02:40:06,9606.0,2018,F,Chicago
Keating,Bonnie,30-34,USA,487,229,02:40:12,9612.0,2018,F,Chicago
Scarabelli,Davide,40-44,ITA,6039,230,02:40:12,9612.0,2018,M,Chicago
Elliott,Steve,30-34,CAN,7061,231,02:40:14,9614.0,2018,M,Chicago
Kakes,Joshuah,20-24,USA,3028,232,02:40:20,9620.0,2018,M,Chicago
Jones,Joshua,25-29,USA,3133,233,02:40:30,9630.0,2018,M,Chicago
Goodman,John Mark,35-39,USA,5242,234,02:40:32,9632.0,2018,M,Chicago
Kaplan,Josh,30-34,USA,5050,235,02:40:38,9638.0,2018,M,Chicago
Roeth,Tyler,25-29,USA,5025,236,02:40:40,9640.0,2018,M,Chicago
Starbuck,Ryan,30-34,USA,5114,237,02:40:41,9641.0,2018,M,Chicago
Hsu,Li-Chieh,30-34,TPE,4298,238,02:40:41,9641.0,2018,M,Chicago
Daniels,Steven,30-34,GBR,3124,239,02:40:50,9650.0,2018,M,Chicago
Fulton,Naomi,30-34,USA,446,240,02:40:57,9657.0,2018,F,Chicago
Nielsen,Mikkel,30-34,DEN,6117,241,02:41:03,9663.0,2018,M,Chicago
Glaubke,Eric,25-29,USA,5128,242,02:41:07,9667.0,2018,M,Chicago
Veloso,Rui,40-44,POR,21002,243,02:41:12,9672.0,2018,M,Chicago
Lauro,Joseph,45-49,USA,6307,244,02:41:16,9676.0,2018,M,Chicago
Batista,Vasco,40-44,POR,371,245,02:41:18,9678.0,2018,M,Chicago
Pennington,Jay,45-49,USA,570,246,02:41:22,9682.0,2018,M,Chicago
Doland,Jason,45-49,USA,1090,247,02:41:23,9683.0,2018,M,Chicago
Krauss,Steve,25-29,USA,4231,248,02:41:25,9685.0,2018,M,Chicago
Cleaver,Jonathan,35-39,GBR,3008,249,02:41:30,9690.0,2018,F,Chicago
Mollenkopf,Ingrid,25-29,USA,5196,250,02:41:37,9697.0,2018,M,Chicago
Czyz,Grzegorz,50-54,POL,6122,251,02:41:45,9705.0,2018,M,Chicago
Mascaro,Ferran,45-49,ESP,7010,252,02:41:46,9706.0,2018,M,Chicago
Wolf,Michael,35-39,USA,4207,253,02:41:49,9709.0,2018,M,Chicago
Stapenhorst,Guilherme,30-34,BRA,6171,254,02:41:50,9710.0,2018,M,Chicago
Schwab,Kevin,25-29,CAN,3182,255,02:41:50,9710.0,2018,M,Chicago
Procknow,Adam,20-24,USA,2066,256,02:41:51,9711.0,2018,M,Chicago
Cale,Eric,35-39,USA,3228,257,02:41:51,9711.0,2018,M,Chicago
Stroupe,David,35-39,USA,4232,258,02:41:54,9714.0,2018,M,Chicago
Nieves,Felix,30-34,PUR,6299,259,02:41:54,9714.0,2018,M,Chicago
Curto,Chris,35-39,USA,1052,260,02:41:56,9716.0,2018,M,Chicago
Bouchard,Julien,30-34,CAN,5295,261,02:41:57,9717.0,2018,M,Chicago
Lewis,Simon,40-44,GBR,3220,262,02:41:58,9718.0,2018,M,Chicago
Condon,Kieran,40-44,USA,1012,263,02:42:02,9722.0,2018,M,Chicago
Ko,Shihchieh,40-44,TPE,1292,264,02:42:05,9725.0,2018,M,Chicago
Hohlman,Robbie,20-24,USA,4007,265,02:42:08,9728.0,2018,F,Chicago
Corno,Hilary,40-44,USA,412,266,02:42:13,9733.0,2018,M,Chicago
Benzen,Maccoy,20-24,USA,4259,267,02:42:14,9734.0,2018,M,Chicago
Albarracin,Diego,25-29,ECU,5097,268,02:42:15,9735.0,2018,M,Chicago
Meyer,Matthew,25-29,USA,4185,269,02:42:19,9739.0,2018,M,Chicago
Martin,James,35-39,USA,4205,270,02:42:20,9740.0,2018,M,Chicago
Dill,Jeff,25-29,CAN,5135,271,02:42:21,9741.0,2018,M,Chicago
Sharp,Chris,35-39,GBR,5042,272,02:42:26,9746.0,2018,M,Chicago
Ndegwa,Jackson,45-49,KEN,6390,273,02:42:28,9748.0,2018,M,Chicago
Villa,Lorenzo,35-39,ITA,6042,274,02:42:28,9748.0,2018,M,Chicago
Zuniga,David,40-44,USA,3213,275,02:42:30,9750.0,2018,M,Chicago
Eaton,Taylor,30-34,USA,430,276,02:42:31,9751.0,2018,M,Chicago
Sigelbaum,Douglas,25-29,USA,5002,277,02:42:32,9752.0,2018,M,Chicago
Ayestaran Odriozola,Imanol,40-44,ESP,7039,278,02:42:34,9754.0,2018,M,Chicago
Bilt,Marcel,35-39,ROU,6127,279,02:42:34,9754.0,2018,M,Chicago
Kurtz,Jordan,20-24,USA,5020,280,02:42:35,9755.0,2018,M,Chicago
Flowerday,Crispin,35-39,GBR,4141,281,02:42:37,9757.0,2018,F,Chicago
Bareikis,Jane,20-24,USA,657,282,02:42:38,9758.0,2018,M,Chicago
Spak,Aaron,20-24,USA,3193,283,02:42:38,9758.0,2018,M,Chicago
Fry,Eric,35-39,USA,3096,284,02:42:38,9758.0,2018,M,Chicago
Bareikis,Arturs,30-34,USA,368,285,02:42:39,9759.0,2018,M,Chicago
Molchanov,Dmytro,25-29,UKR,6095,286,02:42:42,9762.0,2018,M,Chicago
Song,Yuebin,35-39,CHN,2011,287,02:42:42,9762.0,2018,M,Chicago
Laurel,Eric,30-34,USA,2287,288,02:42:45,9765.0,2018,M,Chicago
Salminen,Matthew,25-29,USA,3128,289,02:42:46,9766.0,2018,F,Chicago
Severy,Natalie,35-39,USA,602,290,02:42:46,9766.0,2018,M,Chicago
Sayer,Steffan,35-39,GBR,3184,291,02:42:46,9766.0,2018,M,Chicago
Bell,Samuel,40-44,USA,375,292,02:42:46,9766.0,2018,M,Chicago
Zawadzki,Bruno,30-34,BRA,6163,293,02:42:49,9769.0,2018,M,Chicago
Gomez Sacchett,Mateus,25-29,BRA,6148,294,02:42:50,9770.0,2018,M,Chicago
Ryan,Kevin,20-24,USA,21036,295,02:42:50,9770.0,2018,M,Chicago
Kiefert,Mathias,35-39,GER,6026,296,02:42:51,9771.0,2018,M,Chicago
Whipple,Brett,30-34,USA,4297,297,02:42:51,9771.0,2018,M,Chicago
Kolodziejczyk,Roman,50-54,POL,6136,298,02:42:53,9773.0,2018,M,Chicago
Olsen,Jacob,25-29,USA,3138,299,02:42:53,9773.0,2018,M,Chicago
Fillion,Mathieu,35-39,FRA,5300,300,02:42:53,9773.0,2018,M,Chicago
Cherono,Lawrence,30-34,KEN,4,1,02:05:45,7545.0,2019,M,Chicago
Debela,Dejene,20-24,ETH,38,2,02:05:46,7546.0,2019,M,Chicago
Mengstu,Asefa,30-34,ETH,5,3,02:05:48,7548.0,2019,M,Chicago
Karoki,Bedan,25-29,KEN,9,4,02:05:53,7553.0,2019,M,Chicago
Abdi,Bashir,30-34,BEL,10,5,02:06:14,7574.0,2019,M,Chicago
Tura,Seifu,20-24,ETH,39,6,02:08:35,7715.0,2019,M,Chicago
Chumba,Dickson,30-34,KEN,6,7,02:09:11,7751.0,2019,M,Chicago
Farah,Mo,35-39,GBR,1,8,02:09:58,7798.0,2019,M,Chicago
Riley,Jacob,30-34,USA,16,9,02:10:36,7836.0,2019,M,Chicago
Mock,Jerrell,20-24,USA,36,10,02:10:37,7837.0,2019,M,Chicago
Stinson,Parker,25-29,USA,23,11,02:10:53,7853.0,2019,M,Chicago
Bumbalough,Andrew,30-34,USA,20,12,02:10:56,7856.0,2019,M,Chicago
Oishi,Minato,30-34,JPN,11,13,02:11:02,7862.0,2019,M,Chicago
Mcdonald,Matthew,25-29,USA,21,14,02:11:10,7870.0,2019,M,Chicago
Smith,Scott,20-24,USA,15,15,02:11:14,7874.0,2019,M,Chicago
Gregg,Brendan,30-34,USA,17,16,02:11:38,7898.0,2019,M,Chicago
Droddy,Noah,25-29,USA,25,17,02:11:42,7902.0,2019,M,Chicago
Given,Wilkerson,25-29,USA,24,18,02:11:44,7904.0,2019,M,Chicago
Estrada,Diego,25-29,USA,19,19,02:11:54,7914.0,2019,M,Chicago
Hayakawa,Tsubasa,25-29,JPN,14,20,02:12:25,7945.0,2019,M,Chicago
Takeuchi,Ryoma,25-29,JPN,12,21,02:12:26,7946.0,2019,M,Chicago
Shrader,Brian,25-29,USA,18,22,02:13:27,8007.0,2019,M,Chicago
Kosgei,Brigid,25-29,KEN,101,23,02:14:04,8044.0,2019,F,Chicago
Monroe,Alex,25-29,USA,34,24,02:14:15,8055.0,2019,M,Chicago
